Description,Name,Number,Source
Burger King Branches in,United States,6701,World Population Review (Feb 2026)
Burger King Branches in,China,1474,World Population Review (Feb 2026)
Burger King Branches in,Spain,974,World Population Review (Feb 2026)
Burger King Branches in,Brazil,970,World Population Review (Feb 2026)
Burger King Branches in,Turkey,772,World Population Review (Feb 2026)
Burger King Branches in,Germany,753,World Population Review (Feb 2026)
Burger King Branches in,United Kingdom,572,World Population Review (Feb 2026)
Burger King Branches in,France,567,World Population Review (Feb 2026)
Burger King Branches in,South Korea,517,World Population Review (Feb 2026)
Burger King Branches in,India,510,World Population Review (Feb 2026)
Burger King Branches in,Australia,471,World Population Review (Feb 2026)
Burger King Branches in,Mexico,454,World Population Review (Feb 2026)
Burger King Branches in,Canada,381,World Population Review (Feb 2026)
Burger King Branches in,Italy,294,World Population Review (Feb 2026)
Burger King Branches in,Japan,253,World Population Review (Feb 2026)
Burger King Branches in,Malaysia,207,World Population Review (Feb 2026)
Burger King Branches in,Portugal,202,World Population Review (Feb 2026)
Burger King Branches in,Saudi Arabia,165,World Population Review (Feb 2026)
Burger King Branches in,Puerto Rico,159,World Population Review (Feb 2026)
Burger King Branches in,South Africa,150,World Population Review (Feb 2026)
Burger King Branches in,Indonesia,147,World Population Review (Feb 2026)
Burger King Branches in,Philippines,132,World Population Review (Feb 2026)
Burger King Branches in,Thailand,126,World Population Review (Feb 2026)
Burger King Branches in,Argentina,120,World Population Review (Feb 2026)
Burger King Branches in,Sweden,115,World Population Review (Feb 2026)
Burger King Branches in,Norway,107,World Population Review (Feb 2026)
Burger King Branches in,United Arab Emirates,106,World Population Review (Feb 2026)
Burger King Branches in,Taiwan,98,World Population Review (Feb 2026)
Burger King Branches in,Kuwait,96,World Population Review (Feb 2026)
Burger King Branches in,Switzerland,93,World Population Review (Feb 2026)
Burger King Branches in,Chile,86,World Population Review (Feb 2026)
Burger King Branches in,New Zealand,80,World Population Review (Feb 2026)
Burger King Branches in,Poland,76,World Population Review (Feb 2026)
Burger King Branches in,Netherlands,70,World Population Review (Feb 2026)
Burger King Branches in,Singapore,70,World Population Review (Feb 2026)
