Description,Name,Number,Source
Facebook Users in ,India,581.6M,World Population Review (Feb 2026)
Facebook Users in,United States,279.8M,World Population Review (Feb 2026)
Facebook Users in,Brazil,175.1M,World Population Review (Feb 2026)
Facebook Users in,Indonesia,174M,World Population Review (Feb 2026)
Facebook Users in,Mexico,111.4M,World Population Review (Feb 2026)
Facebook Users in,Philippines,102.3M,World Population Review (Feb 2026)
Facebook Users in,Vietnam,86.1M,World Population Review (Feb 2026)
Facebook Users in,Russia,70.6M,World Population Review (Feb 2026)
Facebook Users in,Turkey,70.3M,World Population Review (Feb 2026)
Facebook Users in,Bangladesh,67.2M,World Population Review (Feb 2026)
Facebook Users in,Japan,61.7M,World Population Review (Feb 2026)
Facebook Users in,Pakistan,60.4M,World Population Review (Feb 2026)
Facebook Users in,Thailand,58.3M,World Population Review (Feb 2026)
Facebook Users in,Egypt,56.4M,World Population Review (Feb 2026)
Facebook Users in,United Kingdom,55.9M,World Population Review (Feb 2026)
Facebook Users in,Nigeria,51.2M,World Population Review (Feb 2026)
Facebook Users in,France,47.3M,World Population Review (Feb 2026)
Facebook Users in,Germany,46.6M,World Population Review (Feb 2026)
Facebook Users in,Colombia,43.6M,World Population Review (Feb 2026)
Facebook Users in,Italy,43.6M,World Population Review (Feb 2026)
Facebook Users in,Argentina,41.7M,World Population Review (Feb 2026)
Facebook Users in,Spain,35.9M,World Population Review (Feb 2026)
Facebook Users in,Algeria,32.6M,World Population Review (Feb 2026)
Facebook Users in,Canada,32M,World Population Review (Feb 2026)
Facebook Users in,South Africa,32M,World Population Review (Feb 2026)
Facebook Users in,Malaysia,31M,World Population Review (Feb 2026)
Facebook Users in,Iraq,30.9M,World Population Review (Feb 2026)
Facebook Users in,Saudi Arabia,29.2M,World Population Review (Feb 2026)
Facebook Users in,Peru,29M,World Population Review (Feb 2026)
Facebook Users in,Morocco,27.5M,World Population Review (Feb 2026)
Facebook Users in,South Korea,27.1M,World Population Review (Feb 2026)
Facebook Users in,Poland,24.8M,World Population Review (Feb 2026)
Facebook Users in,Australia,22.7M,World Population Review (Feb 2026)
Facebook Users in,Taiwan,22.4M,World Population Review (Feb 2026)
Facebook Users in,Ukraine,20.6M,World Population Review (Feb 2026)
Facebook Users in,Myanmar,20.4M,World Population Review (Feb 2026)
Facebook Users in,Venezuela,18.9M,World Population Review (Feb 2026)
Facebook Users in,Chile,18.7M,World Population Review (Feb 2026)
Facebook Users in,Kenya,17M,World Population Review (Feb 2026)
Facebook Users in,Nepal,16.5M,World Population Review (Feb 2026)
Facebook Users in,Ecuador,15.3M,World Population Review (Feb 2026)
Facebook Users in,Cambodia,13.9M,World Population Review (Feb 2026)
Facebook Users in,United Arab Emirates,13.9M,World Population Review (Feb 2026)
Facebook Users in,Kazakhstan,13.2M,World Population Review (Feb 2026)
Facebook Users in,Netherlands,12.9M,World Population Review (Feb 2026)
Facebook Users in,Romania,12.3M,World Population Review (Feb 2026)
Facebook Users in,Guatemala,10.5M,World Population Review (Feb 2026)
Facebook Users in,Uzbekistan,10.1M,World Population Review (Feb 2026)
Facebook Users in,Ghana,10.1M,World Population Review (Feb 2026)
Facebook Users in,Ethiopia,9.4M,World Population Review (Feb 2026)
Facebook Users in,Sri Lanka,9.4M,World Population Review (Feb 2026)
Facebook Users in,Portugal,9.1M,World Population Review (Feb 2026)
Facebook Users in,Tunisia,8.8M,World Population Review (Feb 2026)
Facebook Users in,Ivory Coast,8.7M,World Population Review (Feb 2026)
Facebook Users in,Sweden,8.7M,World Population Review (Feb 2026)
Facebook Users in,Bolivia,8.7M,World Population Review (Feb 2026)
Facebook Users in,Belgium,8.4M,World Population Review (Feb 2026)
Facebook Users in,Tanzania,7.5M,World Population Review (Feb 2026)
Facebook Users in,DR Congo,7.3M,World Population Review (Feb 2026)
Facebook Users in,Libya,7.2M,World Population Review (Feb 2026)
Facebook Users in,Greece,7.1M,World Population Review (Feb 2026)
Facebook Users in,Jordan,7M,World Population Review (Feb 2026)
Facebook Users in,Hungary,6.9M,World Population Review (Feb 2026)
Facebook Users in,Czechia,6.4M,World Population Review (Feb 2026)
Facebook Users in,Israel,6.2M,World Population Review (Feb 2026)
Facebook Users in,Hong Kong,5.8M,World Population Review (Feb 2026)
Facebook Users in,Cameroon,5.7M,World Population Review (Feb 2026)
Facebook Users in,Angola,5.6M,World Population Review (Feb 2026)
Facebook Users in,Switzerland,5.4M,World Population Review (Feb 2026)
Facebook Users in,China,5.4M,World Population Review (Feb 2026)
Facebook Users in,Austria,5.3M,World Population Review (Feb 2026)
Facebook Users in,Honduras,5.3M,World Population Review (Feb 2026)
Facebook Users in,Yemen,5.1M,World Population Review (Feb 2026)
Facebook Users in,Singapore,5M,World Population Review (Feb 2026)
Facebook Users in,Azerbaijan,4.9M,World Population Review (Feb 2026)
Facebook Users in,Afghanistan,4.9M,World Population Review (Feb 2026)
Facebook Users in,El Salvador,4.8M,World Population Review (Feb 2026)
Facebook Users in,Denmark,4.8M,World Population Review (Feb 2026)
Facebook Users in,Serbia,4.7M,World Population Review (Feb 2026)
Facebook Users in,Paraguay,4.6M,World Population Review (Feb 2026)
Facebook Users in,Senegal,4.6M,World Population Review (Feb 2026)
Facebook Users in,Laos,4.6M,World Population Review (Feb 2026)
Facebook Users in,Kuwait,4.5M,World Population Review (Feb 2026)
Facebook Users in,Norway,4.5M,World Population Review (Feb 2026)
Facebook Users in,Lebanon,4.4M,World Population Review (Feb 2026)
Facebook Users in,New Zealand,4.4M,World Population Review (Feb 2026)
Facebook Users in,Nicaragua,4.4M,World Population Review (Feb 2026)
Facebook Users in,Bulgaria,4.3M,World Population Review (Feb 2026)
Facebook Users in,Costa Rica,4.1M,World Population Review (Feb 2026)
Facebook Users in,Belarus,4.1M,World Population Review (Feb 2026)
Facebook Users in,Madagascar,4.1M,World Population Review (Feb 2026)
Facebook Users in,Zambia,3.9M,World Population Review (Feb 2026)
Facebook Users in,Ireland,3.9M,World Population Review (Feb 2026)
Facebook Users in,Mozambique,3.8M,World Population Review (Feb 2026)
Facebook Users in,Finland,3.7M,World Population Review (Feb 2026)
Facebook Users in,Oman,3.5M,World Population Review (Feb 2026)
Facebook Users in,Georgia,3.5M,World Population Review (Feb 2026)
Facebook Users in,Burkina Faso,3.5M,World Population Review (Feb 2026)
Facebook Users in,Slovakia,3.4M,World Population Review (Feb 2026)
Facebook Users in,Qatar,3.3M,World Population Review (Feb 2026)
Facebook Users in,Panama,3.3M,World Population Review (Feb 2026)
Facebook Users in,Kyrgyzstan,3.2M,World Population Review (Feb 2026)
Facebook Users in,Uruguay,3.2M,World Population Review (Feb 2026)
Facebook Users in,Haiti,3.1M,World Population Review (Feb 2026)
Facebook Users in,Uganda,3M,World Population Review (Feb 2026)
Facebook Users in,Guinea,3M,World Population Review (Feb 2026)
Facebook Users in,Mongolia,3M,World Population Review (Feb 2026)
Facebook Users in,Palestine,2.9M,World Population Review (Feb 2026)
Facebook Users in,Somalia,2.7M,World Population Review (Feb 2026)
Facebook Users in,Benin,2.6M,World Population Review (Feb 2026)
Facebook Users in,Mali,2.6M,World Population Review (Feb 2026)
Facebook Users in,Puerto Rico,2.5M,World Population Review (Feb 2026)
Facebook Users in,Croatia,2.3M,World Population Review (Feb 2026)
Facebook Users in,Zimbabwe,2.2M,World Population Review (Feb 2026)
Facebook Users in,Armenia,2M,World Population Review (Feb 2026)
Facebook Users in,Lithuania,1.9M,World Population Review (Feb 2026)
Facebook Users in,Bosnia and Herzegovina,1.9M,World Population Review (Feb 2026)
Facebook Users in,Moldova,1.8M,World Population Review (Feb 2026)
Facebook Users in,Albania,1.7M,World Population Review (Feb 2026)
