Description,Name,Number,Source
Instagram Followers of,Cristiano Ronaldo,670M,Wikipedia (Feb 2026)
Instagram Followers of,Lionel Messi,511M,Wikipedia (Feb 2026)
Instagram Followers of,Selena Gomez,415M,Wikipedia (Feb 2026)
Instagram Followers of,Kylie Jenner,391M,Wikipedia (Feb 2026)
Instagram Followers of,Dwayne Johnson,390M,Wikipedia (Feb 2026)
Instagram Followers of,Ariana Grande,372M,Wikipedia (Feb 2026)
Instagram Followers of,Kim Kardashian,353M,Wikipedia (Feb 2026)
Instagram Followers of,Beyoncé,308M,Wikipedia (Feb 2026)
Instagram Followers of,Khloé Kardashian,299M,Wikipedia (Feb 2026)
Instagram Followers of,Nike,298M,Wikipedia (Feb 2026)
Instagram Followers of,Justin Bieber,292M,Wikipedia (Feb 2026)
Instagram Followers of,Kendall Jenner,284M,Wikipedia (Feb 2026)
Instagram Followers of,Taylor Swift,280M,Wikipedia (Feb 2026)
Instagram Followers of,National Geographic,275M,Wikipedia (Feb 2026)
Instagram Followers of,Virat Kohli,274M,Wikipedia (Feb 2026)
Instagram Followers of,Jennifer Lopez,246M,Wikipedia (Feb 2026)
Instagram Followers of,Neymar,233M,Wikipedia (Feb 2026)
Instagram Followers of,Kourtney Kardashian,215M,Wikipedia (Feb 2026)
Instagram Followers of,Miley Cyrus,210M,Wikipedia (Feb 2026)
Instagram Followers of,Katy Perry,201M,Wikipedia (Feb 2026)
Instagram Followers of,Real Madrid CF,180M,Wikipedia (Feb 2026)
Instagram Followers of,Kevin Hart,176M,Wikipedia (Feb 2026)
Instagram Followers of,Zendaya,175M,Wikipedia (Feb 2026)
Instagram Followers of,Cardi B,164M,Wikipedia (Feb 2026)
Instagram Followers of,LeBron James,157M,Wikipedia (Feb 2026)
Instagram Followers of,Demi Lovato,152M,Wikipedia (Feb 2026)
Instagram Followers of,Rihanna,149M,Wikipedia (Feb 2026)
Instagram Followers of,FC Barcelona,146M,Wikipedia (Feb 2026)
Instagram Followers of,Chris Brown,143M,Wikipedia (Feb 2026)
Instagram Followers of,Drake,141M,Wikipedia (Feb 2026)
Instagram Followers of,Ellen DeGeneres,134M,Wikipedia (Feb 2026)
Instagram Followers of,Kylian Mbappé,129M,Wikipedia (Feb 2026)
Instagram Followers of,Billie Eilish,125M,Wikipedia (Feb 2026)
Instagram Followers of,UEFA Champions League,121M,Wikipedia (Feb 2026)
Instagram Followers of,Lisa,106M,Wikipedia (Feb 2026)
Instagram Followers of,Gal Gadot,106M,Wikipedia (Feb 2026)
Instagram Followers of,Vin Diesel,105M,Wikipedia (Feb 2026)
Instagram Followers of,Narendra Modi,99.7M,Wikipedia (Feb 2026)
Instagram Followers of,NASA,98.6M,Wikipedia (Feb 2026)
Instagram Followers of,Shakira,95.6M,Wikipedia (Feb 2026)
Instagram Followers of,Shraddha Kapoor,94.9M,Wikipedia (Feb 2026)
Instagram Followers of,Priyanka Chopra,94.1M,Wikipedia (Feb 2026)
Instagram Followers of,NBA,90.2M,Wikipedia (Feb 2026)
Instagram Followers of,Jennie,89.3M,Wikipedia (Feb 2026)
Instagram Followers of,Dua Lipa,88.7M,Wikipedia (Feb 2026)
Instagram Followers of,David Beckham,88.5M,Wikipedia (Feb 2026)
Instagram Followers of,Snoop Dogg,88.4M,Wikipedia (Feb 2026)
Instagram Followers of,Alia Bhatt,86.9M,Wikipedia (Feb 2026)
Instagram Followers of,Rosé,84.3M,Wikipedia (Feb 2026)
