Description,Name,Number,Source
"Instagram Users in",India,392.5M,World Population Review (Feb 2026)
Instagram Users in,United States,172.6M,World Population Review (Feb 2026)
Instagram Users in,Brazil,141.4M,World Population Review (Feb 2026)
Instagram Users in,Indonesia,90.2M,World Population Review (Feb 2026)
Instagram Users in,Russia,63.9M,World Population Review (Feb 2026)
Instagram Users in,Turkey,58.3M,World Population Review (Feb 2026)
Instagram Users in,Japan,55.5M,World Population Review (Feb 2026)
Instagram Users in,Mexico,48.9M,World Population Review (Feb 2026)
Instagram Users in,United Kingdom,34.7M,World Population Review (Feb 2026)
Instagram Users in,Germany,33.8M,World Population Review (Feb 2026)
Instagram Users in,Italy,30.7M,World Population Review (Feb 2026)
Instagram Users in,France,29.2M,World Population Review (Feb 2026)
Instagram Users in,Argentina,28.4M,World Population Review (Feb 2026)
Instagram Users in,Spain,27.1M,World Population Review (Feb 2026)
Instagram Users in,South Korea,24.2M,World Population Review (Feb 2026)
Instagram Users in,Philippines,22.2M,World Population Review (Feb 2026)
Instagram Users in,Colombia,20.9M,World Population Review (Feb 2026)
Instagram Users in,Canada,19.7M,World Population Review (Feb 2026)
Instagram Users in,Egypt,19.4M,World Population Review (Feb 2026)
Instagram Users in,Iraq,19.2M,World Population Review (Feb 2026)
Instagram Users in,Thailand,19.1M,World Population Review (Feb 2026)
Instagram Users in,Pakistan,18.6M,World Population Review (Feb 2026)
Instagram Users in,Saudi Arabia,17M,World Population Review (Feb 2026)
Instagram Users in,Malaysia,15.7M,World Population Review (Feb 2026)
Instagram Users in,Australia,14.3M,World Population Review (Feb 2026)
Instagram Users in,Chile,13.1M,World Population Review (Feb 2026)
Instagram Users in,Nigeria,12.6M,World Population Review (Feb 2026)
Instagram Users in,Ukraine,12.6M,World Population Review (Feb 2026)
Instagram Users in,Morocco,12.5M,World Population Review (Feb 2026)
Instagram Users in,Kazakhstan,12.4M,World Population Review (Feb 2026)
Instagram Users in,Poland,12.3M,World Population Review (Feb 2026)
Instagram Users in,Algeria,11.8M,World Population Review (Feb 2026)
Instagram Users in,Vietnam,10.7M,World Population Review (Feb 2026)
Instagram Users in,Peru,10.3M,World Population Review (Feb 2026)
Instagram Users in,Uzbekistan,9.4M,World Population Review (Feb 2026)
Instagram Users in,Venezuela,9M,World Population Review (Feb 2026)
Instagram Users in,Vatican City,9M,World Population Review (Feb 2026)
Instagram Users in,Netherlands,8.9M,World Population Review (Feb 2026)
Instagram Users in,United Arab Emirates,7.6M,World Population Review (Feb 2026)
Instagram Users in,South Africa,7.3M,World Population Review (Feb 2026)
Instagram Users in,Bangladesh,7.2M,World Population Review (Feb 2026)
Instagram Users in,Ecuador,6.7M,World Population Review (Feb 2026)
Instagram Users in,Portugal,6.5M,World Population Review (Feb 2026)
Instagram Users in,Sweden,6.2M,World Population Review (Feb 2026)
Instagram Users in,Romania,5.8M,World Population Review (Feb 2026)
Instagram Users in,Belgium,5.4M,World Population Review (Feb 2026)
Instagram Users in,Dominican Republic,4.9M,World Population Review (Feb 2026)
Instagram Users in,China,4.9M,World Population Review (Feb 2026)
Instagram Users in,Greece,4.7M,World Population Review (Feb 2026)
Instagram Users in,Israel,4.6M,World Population Review (Feb 2026)
Instagram Users in,Azerbaijan,4.3M,World Population Review (Feb 2026)
Instagram Users in,Nepal,4.1M,World Population Review (Feb 2026)
Instagram Users in,Switzerland,4.1M,World Population Review (Feb 2026)
Instagram Users in,Jordan,4M,World Population Review (Feb 2026)
Instagram Users in,Czechia,3.9M,World Population Review (Feb 2026)
Instagram Users in,Belarus,3.9M,World Population Review (Feb 2026)
Instagram Users in,Hong Kong,3.8M,World Population Review (Feb 2026)
Instagram Users in,Tanzania,3.7M,World Population Review (Feb 2026)
Instagram Users in,Austria,3.7M,World Population Review (Feb 2026)
Instagram Users in,Guatemala,3.5M,World Population Review (Feb 2026)
Instagram Users in,Tunisia,3.5M,World Population Review (Feb 2026)
Instagram Users in,Serbia,3.3M,World Population Review (Feb 2026)
Instagram Users in,Kenya,3.2M,World Population Review (Feb 2026)
Instagram Users in,Singapore,3.2M,World Population Review (Feb 2026)
Instagram Users in,Kuwait,3M,World Population Review (Feb 2026)
Instagram Users in,Hungary,2.9M,World Population Review (Feb 2026)
Instagram Users in,Kyrgyzstan,2.9M,World Population Review (Feb 2026)
Instagram Users in,Denmark,2.9M,World Population Review (Feb 2026)
Instagram Users in,Norway,2.9M,World Population Review (Feb 2026)
Instagram Users in,Ireland,2.7M,World Population Review (Feb 2026)
Instagram Users in,Lebanon,2.7M,World Population Review (Feb 2026)
Instagram Users in,Panama,2.7M,World Population Review (Feb 2026)
Instagram Users in,Paraguay,2.6M,World Population Review (Feb 2026)
Instagram Users in,Finland,2.6M,World Population Review (Feb 2026)
Instagram Users in,Costa Rica,2.6M,World Population Review (Feb 2026)
Instagram Users in,New Zealand,2.5M,World Population Review (Feb 2026)
Instagram Users in,Oman,2.5M,World Population Review (Feb 2026)
Instagram Users in,Uruguay,2.3M,World Population Review (Feb 2026)
Instagram Users in,Ghana,2.3M,World Population Review (Feb 2026)
Instagram Users in,Bolivia,2.3M,World Population Review (Feb 2026)
Instagram Users in,Libya,2.1M,World Population Review (Feb 2026)
Instagram Users in,Bulgaria,1.9M,World Population Review (Feb 2026)
Instagram Users in,Honduras,1.9M,World Population Review (Feb 2026)
Instagram Users in,El Salvador,1.9M,World Population Review (Feb 2026)
Instagram Users in,Sri Lanka,1.8M,World Population Review (Feb 2026)
Instagram Users in,Cambodia,1.8M,World Population Review (Feb 2026)
Instagram Users in,Georgia,1.8M,World Population Review (Feb 2026)
Instagram Users in,Slovakia,1.7M,World Population Review (Feb 2026)
Instagram Users in,Yemen,1.7M,World Population Review (Feb 2026)
Instagram Users in,Qatar,1.7M,World Population Review (Feb 2026)
Instagram Users in,Palestine,1.7M,World Population Review (Feb 2026)
Instagram Users in,Puerto Rico,1.6M,World Population Review (Feb 2026)
Instagram Users in,Tajikistan,1.6M,World Population Review (Feb 2026)
Instagram Users in,Croatia,1.5M,World Population Review (Feb 2026)
Instagram Users in,Myanmar,1.4M,World Population Review (Feb 2026)
Instagram Users in,Armenia,1.4M,World Population Review (Feb 2026)
Instagram Users in,Senegal,1.3M,World Population Review (Feb 2026)
Instagram Users in,Albania,1.2M,World Population Review (Feb 2026)
Instagram Users in,Afghanistan,1.2M,World Population Review (Feb 2026)
Instagram Users in,Nicaragua,1.2M,World Population Review (Feb 2026)
Instagram Users in,Ivory Coast,1.2M,World Population Review (Feb 2026)
Instagram Users in,Taiwan,1.2M,World Population Review (Feb 2026)
Instagram Users in,Bosnia and Herzegovina,1.2M,World Population Review (Feb 2026)
Instagram Users in,Jamaica,1.2M,World Population Review (Feb 2026)
Instagram Users in,Bahrain,1.1M,World Population Review (Feb 2026)
Instagram Users in,Ethiopia,1.1M,World Population Review (Feb 2026)
Instagram Users in,Moldova,1M,World Population Review (Feb 2026)
Instagram Users in,Mongolia,1M,World Population Review (Feb 2026)
Instagram Users in,Lithuania,1M,World Population Review (Feb 2026)
Instagram Users in,Cyprus,913.2K,World Population Review (Feb 2026)
Instagram Users in,Angola,866.9K,World Population Review (Feb 2026)
Instagram Users in,North Macedonia,852.5K,World Population Review (Feb 2026)
Instagram Users in,Uganda,756.4K,World Population Review (Feb 2026)
Instagram Users in,Slovenia,736.2K,World Population Review (Feb 2026)
Instagram Users in,DR Congo,731.1K,World Population Review (Feb 2026)
Instagram Users in,Latvia,729.4K,World Population Review (Feb 2026)
Instagram Users in,Trinidad and Tobago,694.4K,World Population Review (Feb 2026)
Instagram Users in,Cameroon,643.9K,World Population Review (Feb 2026)
Instagram Users in,Mozambique,637.8K,World Population Review (Feb 2026)
Instagram Users in,Haiti,601.9K,World Population Review (Feb 2026)
Instagram Users in,Laos,584.2K,World Population Review (Feb 2026)
Instagram Users in,Somalia,554.6K,World Population Review (Feb 2026)
Instagram Users in,Zimbabwe,535.9K,World Population Review (Feb 2026)
Instagram Users in,Estonia,527.6K,World Population Review (Feb 2026)
Instagram Users in,Zambia,482.4K,World Population Review (Feb 2026)
Instagram Users in,Rwanda,452.8K,World Population Review (Feb 2026)
Instagram Users in,Namibia,426.3K,World Population Review (Feb 2026)
Instagram Users in,Montenegro,421.1K,World Population Review (Feb 2026)
Instagram Users in,Mauritius,403.6K,World Population Review (Feb 2026)
Instagram Users in,Brunei,305.7K,World Population Review (Feb 2026)
Instagram Users in,Luxembourg,304.8K,World Population Review (Feb 2026)
Instagram Users in,Reunion,283.2K,World Population Review (Feb 2026)
Instagram Users in,Maldives,280.4K,World Population Review (Feb 2026)
Instagram Users in,Malta,276.2K,World Population Review (Feb 2026)
