Description,Name,Number,Source
McDonalds Branches in,United States,"13,557",World Population Review (Feb 2026)
McDonalds Branches in,China,"6,820",World Population Review (Feb 2026)
McDonalds Branches in,Japan,"2,989",World Population Review (Feb 2026)
McDonalds Branches in,France,"1,589",World Population Review (Feb 2026)
McDonalds Branches in,Canada,"1,489",World Population Review (Feb 2026)
McDonalds Branches in,United Kingdom,"1,470",World Population Review (Feb 2026)
McDonalds Branches in,Germany,"1,367",World Population Review (Feb 2026)
McDonalds Branches in,Brazil,"1,173",World Population Review (Feb 2026)
McDonalds Branches in,Australia,"1,068",World Population Review (Feb 2026)
McDonalds Branches in,Philippines,792,World Population Review (Feb 2026)
McDonalds Branches in,Italy,755,World Population Review (Feb 2026)
McDonalds Branches in,India,665,World Population Review (Feb 2026)
McDonalds Branches in,Spain,635,World Population Review (Feb 2026)
McDonalds Branches in,Poland,580,World Population Review (Feb 2026)
McDonalds Branches in,Saudi Arabia,441,World Population Review (Feb 2026)
McDonalds Branches in,Taiwan,417,World Population Review (Feb 2026)
McDonalds Branches in,South Africa,401,World Population Review (Feb 2026)
McDonalds Branches in,South Korea,398,World Population Review (Feb 2026)
McDonalds Branches in,Mexico,374,World Population Review (Feb 2026)
McDonalds Branches in,Malaysia,373,World Population Review (Feb 2026)
McDonalds Branches in,Indonesia,318,World Population Review (Feb 2026)
McDonalds Branches in,Turkey,274,World Population Review (Feb 2026)
McDonalds Branches in,Netherlands,263,World Population Review (Feb 2026)
McDonalds Branches in,Hong Kong,260,World Population Review (Feb 2026)
McDonalds Branches in,Thailand,236,World Population Review (Feb 2026)
McDonalds Branches in,Israel,230,World Population Review (Feb 2026)
McDonalds Branches in,Argentina,226,World Population Review (Feb 2026)
McDonalds Branches in,United Arab Emirates,210,World Population Review (Feb 2026)
McDonalds Branches in,Portugal,209,World Population Review (Feb 2026)
McDonalds Branches in,Austria,206,World Population Review (Feb 2026)
McDonalds Branches in,Sweden,199,World Population Review (Feb 2026)
McDonalds Branches in,Egypt,190,World Population Review (Feb 2026)
McDonalds Branches in,Switzerland,184,World Population Review (Feb 2026)
McDonalds Branches in,New Zealand,172,World Population Review (Feb 2026)
McDonalds Branches in,Singapore,152,World Population Review (Feb 2026)
McDonalds Branches in,Czechia,128,World Population Review (Feb 2026)
McDonalds Branches in,Ukraine,124,World Population Review (Feb 2026)
McDonalds Branches in,Belgium,119,World Population Review (Feb 2026)
McDonalds Branches in,Guatemala,115,World Population Review (Feb 2026)
McDonalds Branches in,Hungary,115,World Population Review (Feb 2026)
McDonalds Branches in,Denmark,113,World Population Review (Feb 2026)
McDonalds Branches in,Chile,112,World Population Review (Feb 2026)
McDonalds Branches in,Romania,106,World Population Review (Feb 2026)
McDonalds Branches in,Ireland,95,World Population Review (Feb 2026)
McDonalds Branches in,Puerto Rico,94,World Population Review (Feb 2026)
McDonalds Branches in,Kuwait,91,World Population Review (Feb 2026)
McDonalds Branches in,Norway,85,World Population Review (Feb 2026)
McDonalds Branches in,Finland,81,World Population Review (Feb 2026)
McDonalds Branches in,Panama,81,World Population Review (Feb 2026)
McDonalds Branches in,Venezuela,80,World Population Review (Feb 2026)
McDonalds Branches in,Qatar,79,World Population Review (Feb 2026)
McDonalds Branches in,Morocco,75,World Population Review (Feb 2026)
McDonalds Branches in,Colombia,72,World Population Review (Feb 2026)
McDonalds Branches in,Pakistan,69,World Population Review (Feb 2026)
McDonalds Branches in,Slovakia,47,World Population Review (Feb 2026)
McDonalds Branches in,Croatia,47,World Population Review (Feb 2026)
McDonalds Branches in,Jordan,46,World Population Review (Feb 2026)
McDonalds Branches in,Bulgaria,43,World Population Review (Feb 2026)
McDonalds Branches in,Macau,39,World Population Review (Feb 2026)
McDonalds Branches in,Vietnam,37,World Population Review (Feb 2026)
McDonalds Branches in,Serbia,36,World Population Review (Feb 2026)
McDonalds Branches in,Ecuador,35,World Population Review (Feb 2026)
McDonalds Branches in,Greece,35,World Population Review (Feb 2026)
McDonalds Branches in,Oman,35,World Population Review (Feb 2026)
McDonalds Branches in,Uruguay,34,World Population Review (Feb 2026)
McDonalds Branches in,Bahrain,33,World Population Review (Feb 2026)
McDonalds Branches in,Peru,30,World Population Review (Feb 2026)
McDonalds Branches in,Azerbaijan,29,World Population Review (Feb 2026)
McDonalds Branches in,Slovenia,28,World Population Review (Feb 2026)
McDonalds Branches in,Paraguay,27,World Population Review (Feb 2026)
McDonalds Branches in,El Salvador,25,World Population Review (Feb 2026)
McDonalds Branches in,Georgia,25,World Population Review (Feb 2026)
