Description,Name,Number,Source
Millionaires in,United States,23.8M,World Population Review (Feb 2026)
Millionaires in,China,6.3M,World Population Review (Feb 2026)
Millionaires in,France,2.9M,World Population Review (Feb 2026)
Millionaires in,Japan,2.7M,World Population Review (Feb 2026)
Millionaires in,Germany,2.7M,World Population Review (Feb 2026)
Millionaires in,United Kingdom,2.6M,World Population Review (Feb 2026)
Millionaires in,Canada,2.1M,World Population Review (Feb 2026)
Millionaires in,Australia,1.9M,World Population Review (Feb 2026)
Millionaires in,Italy,1.3M,World Population Review (Feb 2026)
Millionaires in,South Korea,1.3M,World Population Review (Feb 2026)
Millionaires in,Netherlands,1.3M,World Population Review (Feb 2026)
Millionaires in,Spain,1.2M,World Population Review (Feb 2026)
Millionaires in,Switzerland,1.1M,World Population Review (Feb 2026)
Millionaires in,India,917K,World Population Review (Feb 2026)
Millionaires in,Taiwan,759K,World Population Review (Feb 2026)
Millionaires in,Hong Kong,647K,World Population Review (Feb 2026)
Millionaires in,Belgium,549K,World Population Review (Feb 2026)
Millionaires in,Sweden,490K,World Population Review (Feb 2026)
Millionaires in,Brazil,433K,World Population Review (Feb 2026)
Millionaires in,Russia,426K,World Population Review (Feb 2026)
Millionaires in,Mexico,399K,World Population Review (Feb 2026)
Millionaires in,Denmark,376K,World Population Review (Feb 2026)
Millionaires in,Norway,348K,World Population Review (Feb 2026)
Millionaires in,Saudi Arabia,339K,World Population Review (Feb 2026)
