Description,Name,Number,Source
Netflix Users in,United States,66.7M,World Population Review (Feb 2026)
Netflix Users in,United Kingdom,18.4M,World Population Review (Feb 2026)
Netflix Users in,Brazil,16.6M,World Population Review (Feb 2026)
Netflix Users in,Germany,16.6M,World Population Review (Feb 2026)
Netflix Users in,Mexico,13.9M,World Population Review (Feb 2026)
Netflix Users in,France,13.6M,World Population Review (Feb 2026)
Netflix Users in,India,12.4M,World Population Review (Feb 2026)
Netflix Users in,Japan,9M,World Population Review (Feb 2026)
Netflix Users in,Canada,9M,World Population Review (Feb 2026)
Netflix Users in,South Korea,8.4M,World Population Review (Feb 2026)
Netflix Users in,Spain,7.8M,World Population Review (Feb 2026)
Netflix Users in,Australia,6.9M,World Population Review (Feb 2026)
Netflix Users in,Argentina,6.3M,World Population Review (Feb 2026)
Netflix Users in,Colombia,6M,World Population Review (Feb 2026)
Netflix Users in,Italy,5.7M,World Population Review (Feb 2026)
Netflix Users in,Indonesia,4.2M,World Population Review (Feb 2026)
Netflix Users in,Netherlands,4.2M,World Population Review (Feb 2026)
Netflix Users in,Poland,3.9M,World Population Review (Feb 2026)
Netflix Users in,Turkey,3.7M,World Population Review (Feb 2026)
Netflix Users in,Philippines,2.7M,World Population Review (Feb 2026)
Netflix Users in,Taiwan,2.4M,World Population Review (Feb 2026)
Netflix Users in,Chile,2.4M,World Population Review (Feb 2026)
Netflix Users in,Sweden,2.4M,World Population Review (Feb 2026)
Netflix Users in,Switzerland,2.4M,World Population Review (Feb 2026)
Netflix Users in,Malaysia,2.3M,World Population Review (Feb 2026)
Netflix Users in,Belgium,2.3M,World Population Review (Feb 2026)
Netflix Users in,Thailand,2.1M,World Population Review (Feb 2026)
Netflix Users in,Saudi Arabia,1.8M,World Population Review (Feb 2026)
Netflix Users in,Peru,1.8M,World Population Review (Feb 2026)
Netflix Users in,Singapore,1.8M,World Population Review (Feb 2026)
Netflix Users in,Denmark,1.7M,World Population Review (Feb 2026)
Netflix Users in,Norway,1.6M,World Population Review (Feb 2026)
Netflix Users in,Austria,1.5M,World Population Review (Feb 2026)
Netflix Users in,Ireland,1.4M,World Population Review (Feb 2026)
Netflix Users in,Finland,1.2M,World Population Review (Feb 2026)
Netflix Users in,Vietnam,1.2M,World Population Review (Feb 2026)
Netflix Users in,South Africa,1.2M,World Population Review (Feb 2026)
Netflix Users in,Dominican Republic,1.2M,World Population Review (Feb 2026)
Netflix Users in,Portugal,1.2M,World Population Review (Feb 2026)
Netflix Users in,Hong Kong,1.2M,World Population Review (Feb 2026)
Netflix Users in,New Zealand,1.2M,World Population Review (Feb 2026)
Netflix Users in,Romania,1.2M,World Population Review (Feb 2026)
Netflix Users in,Hungary,965.2K,World Population Review (Feb 2026)
Netflix Users in,Ecuador,904.9K,World Population Review (Feb 2026)
Netflix Users in,Greece,904.9K,World Population Review (Feb 2026)
Netflix Users in,Israel,754.1K,World Population Review (Feb 2026)
Netflix Users in,United Arab Emirates,452.4K,World Population Review (Feb 2026)
Netflix Users in,Paraguay,452.4K,World Population Review (Feb 2026)
Netflix Users in,Costa Rica,452.4K,World Population Review (Feb 2026)
Netflix Users in,Panama,452.4K,World Population Review (Feb 2026)
Netflix Users in,Uruguay,452.4K,World Population Review (Feb 2026)
Netflix Users in,Slovakia,422.3K,World Population Review (Feb 2026)
Netflix Users in,Bulgaria,331.8K,World Population Review (Feb 2026)
Netflix Users in,Bangladesh,301.6K,World Population Review (Feb 2026)
Netflix Users in,Venezuela,301.6K,World Population Review (Feb 2026)
Netflix Users in,Kuwait,301.6K,World Population Review (Feb 2026)
Netflix Users in,Bolivia,271.5K,World Population Review (Feb 2026)
Netflix Users in,Serbia,271.5K,World Population Review (Feb 2026)
Netflix Users in,Guatemala,211.1K,World Population Review (Feb 2026)
Netflix Users in,Croatia,211.1K,World Population Review (Feb 2026)
Netflix Users in,Lithuania,211.1K,World Population Review (Feb 2026)
Netflix Users in,Slovenia,211.1K,World Population Review (Feb 2026)
Netflix Users in,Luxembourg,211.1K,World Population Review (Feb 2026)
Netflix Users in,Oman,181K,World Population Review (Feb 2026)
Netflix Users in,Latvia,181K,World Population Review (Feb 2026)
Netflix Users in,Nigeria,150.8K,World Population Review (Feb 2026)
Netflix Users in,Honduras,150.8K,World Population Review (Feb 2026)
Netflix Users in,El Salvador,150.8K,World Population Review (Feb 2026)
Netflix Users in,Qatar,150.8K,World Population Review (Feb 2026)
Netflix Users in,Trinidad and Tobago,150.8K,World Population Review (Feb 2026)
Netflix Users in,Bosnia and Herzegovina,120.7K,World Population Review (Feb 2026)
Netflix Users in,Estonia,120.7K,World Population Review (Feb 2026)
Netflix Users in,Egypt,90.5K,World Population Review (Feb 2026)
