Description,Name,Number,Source
Number of Cellphones in,China,1.8B,World Population Review (Feb 2026)
Number of Cellphones in,India,1.1B,World Population Review (Feb 2026)
Number of Cellphones in,United States,372.7M,World Population Review (Feb 2026)
Number of Cellphones in,Indonesia,316.6M,World Population Review (Feb 2026)
Number of Cellphones in,Russia,245.3M,World Population Review (Feb 2026)
Number of Cellphones in,Nigeria,222.2M,World Population Review (Feb 2026)
Number of Cellphones in,Brazil,212.9M,World Population Review (Feb 2026)
Number of Cellphones in,Japan,207.6M,World Population Review (Feb 2026)
Number of Cellphones in,Pakistan,192.8M,World Population Review (Feb 2026)
Number of Cellphones in,Bangladesh,180.2M,World Population Review (Feb 2026)
Number of Cellphones in,Philippines,166.5M,World Population Review (Feb 2026)
Number of Cellphones in,Iran,145.7M,World Population Review (Feb 2026)
Number of Cellphones in,Vietnam,137.4M,World Population Review (Feb 2026)
Number of Cellphones in,Mexico,127.9M,World Population Review (Feb 2026)
Number of Cellphones in,Thailand,126.4M,World Population Review (Feb 2026)
Number of Cellphones in,Germany,104.4M,World Population Review (Feb 2026)
Number of Cellphones in,Egypt,103.5M,World Population Review (Feb 2026)
Number of Cellphones in,South Africa,100.3M,World Population Review (Feb 2026)
Number of Cellphones in,Turkey,90.3M,World Population Review (Feb 2026)
Number of Cellphones in,United Kingdom,81.6M,World Population Review (Feb 2026)
Number of Cellphones in,Colombia,80.8M,World Population Review (Feb 2026)
Number of Cellphones in,Italy,78.5M,World Population Review (Feb 2026)
Number of Cellphones in,South Korea,77M,World Population Review (Feb 2026)
Number of Cellphones in,France,76.8M,World Population Review (Feb 2026)
Number of Cellphones in,Ethiopia,69.1M,World Population Review (Feb 2026)
Number of Cellphones in,Kenya,65.7M,World Population Review (Feb 2026)
Number of Cellphones in,Argentina,60.2M,World Population Review (Feb 2026)
Number of Cellphones in,Tanzania,60.2M,World Population Review (Feb 2026)
Number of Cellphones in,Spain,59M,World Population Review (Feb 2026)
Number of Cellphones in,Morocco,53M,World Population Review (Feb 2026)
Number of Cellphones in,Poland,52.6M,World Population Review (Feb 2026)
Number of Cellphones in,DR Congo,49.8M,World Population Review (Feb 2026)
Number of Cellphones in,Ukraine,49.3M,World Population Review (Feb 2026)
Number of Cellphones in,Algeria,49M,World Population Review (Feb 2026)
Number of Cellphones in,Ivory Coast,49M,World Population Review (Feb 2026)
Number of Cellphones in,Saudi Arabia,48.2M,World Population Review (Feb 2026)
Number of Cellphones in,Malaysia,48M,World Population Review (Feb 2026)
Number of Cellphones in,Iraq,43.7M,World Population Review (Feb 2026)
Number of Cellphones in,Peru,41.5M,World Population Review (Feb 2026)
Number of Cellphones in,Ghana,40M,World Population Review (Feb 2026)
Number of Cellphones in,Nepal,38.2M,World Population Review (Feb 2026)
Number of Cellphones in,Uzbekistan,35.7M,World Population Review (Feb 2026)
Number of Cellphones in,Canada,35.1M,World Population Review (Feb 2026)
Number of Cellphones in,Sudan,34.7M,World Population Review (Feb 2026)
Number of Cellphones in,Uganda,33.1M,World Population Review (Feb 2026)
Number of Cellphones in,Sri Lanka,31.2M,World Population Review (Feb 2026)
Number of Cellphones in,Taiwan,30M,World Population Review (Feb 2026)
Number of Cellphones in,Australia,28M,World Population Review (Feb 2026)
Number of Cellphones in,Chile,26.4M,World Population Review (Feb 2026)
Number of Cellphones in,Mali,25.9M,World Population Review (Feb 2026)
Number of Cellphones in,Kazakhstan,25.3M,World Population Review (Feb 2026)
Number of Cellphones in,Burkina Faso,24.7M,World Population Review (Feb 2026)
Number of Cellphones in,Angola,24M,World Population Review (Feb 2026)
Number of Cellphones in,Romania,23.2M,World Population Review (Feb 2026)
