Description,Name,Number,Source
Number of lakes in,Canada,"879,800",World Population Review (Feb 2026)
Number of lakes in,Russia,"201,200",World Population Review (Feb 2026)
Number of lakes in,Finland,"188,000",World Population Review (Feb 2026)
Number of lakes in,Denmark,"120,000",World Population Review (Feb 2026)
Number of lakes in,United States,"102,500",World Population Review (Feb 2026)
Number of lakes in,United Kingdom,"42,000",World Population Review (Feb 2026)
Number of lakes in,China,"23,800",World Population Review (Feb 2026)
Number of lakes in,Sweden,"22,600",World Population Review (Feb 2026)
Number of lakes in,Brazil,"20,900",World Population Review (Feb 2026)
Number of lakes in,Norway,"20,000",World Population Review (Feb 2026)
Number of lakes in,Argentina,"13,600",World Population Review (Feb 2026)
Number of lakes in,Kazakhstan,"12,400",World Population Review (Feb 2026)
Number of lakes in,Peru,"12,000",World Population Review (Feb 2026)
Number of lakes in,Australia,"11,400",World Population Review (Feb 2026)
Number of lakes in,Belarus,"11,000",World Population Review (Feb 2026)
Number of lakes in,Switzerland,"7,000",World Population Review (Feb 2026)
Number of lakes in,Japan,"4,000",World Population Review (Feb 2026)
Number of lakes in,Colombia,"3,250",World Population Review (Feb 2026)
Number of lakes in,Germany,"2,000",World Population Review (Feb 2026)
