Description,Name,Number,Source
Number of Volcanoes in,United States,165,World Population Review (Feb 2026)
Number of Volcanoes in,Japan,120,World Population Review (Feb 2026)
Number of Volcanoes in,Russia,114,World Population Review (Feb 2026)
Number of Volcanoes in,Indonesia,107,World Population Review (Feb 2026)
Number of Volcanoes in,Chile,90,World Population Review (Feb 2026)
Number of Volcanoes in,Ethiopia,50,World Population Review (Feb 2026)
Number of Volcanoes in,Papua New Guinea,39,World Population Review (Feb 2026)
Number of Volcanoes in,Ecuador,36,World Population Review (Feb 2026)
Number of Volcanoes in,Mexico,35,World Population Review (Feb 2026)
Number of Volcanoes in,Iceland,35,World Population Review (Feb 2026)
Number of Volcanoes in,Argentina,32,World Population Review (Feb 2026)
Number of Volcanoes in,Canada,24,World Population Review (Feb 2026)
Number of Volcanoes in,Philippines,23,World Population Review (Feb 2026)
Number of Volcanoes in,New Zealand,23,World Population Review (Feb 2026)
Number of Volcanoes in,Kenya,21,World Population Review (Feb 2026)
Number of Volcanoes in,Tonga,21,World Population Review (Feb 2026)
Number of Volcanoes in,Guatemala,20,World Population Review (Feb 2026)
Number of Volcanoes in,France,19,World Population Review (Feb 2026)
Number of Volcanoes in,El Salvador,17,World Population Review (Feb 2026)
Number of Volcanoes in,United Kingdom,14,World Population Review (Feb 2026)
Number of Volcanoes in,Colombia,14,World Population Review (Feb 2026)
Number of Volcanoes in,Vanuatu,14,World Population Review (Feb 2026)
Number of Volcanoes in,Italy,13,World Population Review (Feb 2026)
Number of Volcanoes in,Peru,13,World Population Review (Feb 2026)
Number of Volcanoes in,Portugal,13,World Population Review (Feb 2026)
Number of Volcanoes in,Nicaragua,13,World Population Review (Feb 2026)
Number of Volcanoes in,China,10,World Population Review (Feb 2026)
Number of Volcanoes in,Yemen,10,World Population Review (Feb 2026)
Number of Volcanoes in,Costa Rica,10,World Population Review (Feb 2026)
Number of Volcanoes in,Spain,8,World Population Review (Feb 2026)
Number of Volcanoes in,Saudi Arabia,8,World Population Review (Feb 2026)
Number of Volcanoes in,Eritrea,8,World Population Review (Feb 2026)
Number of Volcanoes in,Turkey,7,World Population Review (Feb 2026)
Number of Volcanoes in,Uganda,7,World Population Review (Feb 2026)
Number of Volcanoes in,Bolivia,7,World Population Review (Feb 2026)
Number of Volcanoes in,Solomon Islands,7,World Population Review (Feb 2026)
Number of Volcanoes in,Tanzania,6,World Population Review (Feb 2026)
Number of Volcanoes in,Madagascar,5,World Population Review (Feb 2026)
Number of Volcanoes in,Greece,5,World Population Review (Feb 2026)
