Description,Name,Number,Source
Number of Whatsapp Users in,India,853.8M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Brazil,148M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Indonesia,112M,World Population Review (Feb 2026)
Number of Whatsapp Users in,United States,98M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Philippines,88M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Mexico,77M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Russia,66.7M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Turkey,60M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Egypt,56M,World Population Review (Feb 2026)
Number of Whatsapp Users in,Pakistan,52M,World Population Review (Feb 2026)
