Description,Number,Name,Source
Number of Billionaires in,902,United States,Wikipedia (Feb 2026)
Number of Billionaires in,450,China,Wikipedia (Feb 2026)
Number of Billionaires in,205,India,Wikipedia (Feb 2026)
Number of Billionaires in,171,Germany,Wikipedia (Feb 2026)
Number of Billionaires in,140,Russia,Wikipedia (Feb 2026)
Number of Billionaires in,76,Canada,Wikipedia (Feb 2026)
Number of Billionaires in,74,Italy,Wikipedia (Feb 2026)
Number of Billionaires in,66,Hong Kong,Wikipedia (Feb 2026)
Number of Billionaires in,56,Brazil,Wikipedia (Feb 2026)
Number of Billionaires in,55,United Kingdom,Wikipedia (Feb 2026)
Number of Billionaires in,54,Taiwan,Wikipedia (Feb 2026)
Number of Billionaires in,52,France,Wikipedia (Feb 2026)
Number of Billionaires in,49,Singapore,Wikipedia (Feb 2026)
Number of Billionaires in,47,Australia,Wikipedia (Feb 2026)
Number of Billionaires in,45,Sweden,Wikipedia (Feb 2026)
Number of Billionaires in,42,Switzerland,Wikipedia (Feb 2026)
Number of Billionaires in,42,Japan,Wikipedia (Feb 2026)
Number of Billionaires in,41,Israel,Wikipedia (Feb 2026)
Number of Billionaires in,34,Spain,Wikipedia (Feb 2026)
Number of Billionaires in,33,Indonesia,Wikipedia (Feb 2026)
Number of Billionaires in,32,Turkey,Wikipedia (Feb 2026)
Number of Billionaires in,30,South Korea,Wikipedia (Feb 2026)
Number of Billionaires in,25,Thailand,Wikipedia (Feb 2026)
Number of Billionaires in,22,Mexico,Wikipedia (Feb 2026)
Number of Billionaires in,19,Malaysia,Wikipedia (Feb 2026)
Number of Billionaires in,17,Norway,Wikipedia (Feb 2026)
Number of Billionaires in,16,Greece,Wikipedia (Feb 2026)
Number of Billionaires in,15,Philippines,Wikipedia (Feb 2026)
Number of Billionaires in,15,Saudi Arabia,Wikipedia (Feb 2026)
Number of Billionaires in,13,Netherlands,Wikipedia (Feb 2026)
Number of Billionaires in,11,Czech Republic,Wikipedia (Feb 2026)
Number of Billionaires in,11,Ireland,Wikipedia (Feb 2026)
Number of Billionaires in,11,Belgium,Wikipedia (Feb 2026)
Number of Billionaires in,10,Cyprus,Wikipedia (Feb 2026)
Number of Billionaires in,10,Poland,Wikipedia (Feb 2026)
Number of Billionaires in,9,Austria,Wikipedia (Feb 2026)
Number of Billionaires in,9,Denmark,Wikipedia (Feb 2026)
Number of Billionaires in,7,Finland,Wikipedia (Feb 2026)
Number of Billionaires in,7,South Africa,Wikipedia (Feb 2026)
Number of Billionaires in,7,Ukraine,Wikipedia (Feb 2026)
Number of Billionaires in,6,Chile,Wikipedia (Feb 2026)
Number of Billionaires in,6,Kazakhstan,Wikipedia (Feb 2026)
Number of Billionaires in,6,Lebanon,Wikipedia (Feb 2026)
Number of Billionaires in,6,Romania,Wikipedia (Feb 2026)
