Description,Name,Number,Source
Number of cities with atleast 1mi citizens in,China,130,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,India,60,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Russia,16,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Brazil,15,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Indonesia,14,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Japan,12,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,South Korea,11,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,United States,11,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Mexico,10,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Pakistan,10,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Turkey,10,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Nigeria,9,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Iran,8,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,DR Congo,7,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,South Africa,6,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Taiwan,6,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Philippines,6,Wikipedia (Feb 2026)
Number of cities with atleast 1mi citizens in,Canada,5,Wikipedia (Feb 2026)
