Description,Name,Number,Source
Number of motorcicles in,India,221M,World Population Review (Feb 2026)
Number of motorcicles in,Indonesia,112M,World Population Review (Feb 2026)
Number of motorcicles in,China,85M,World Population Review (Feb 2026)
Number of motorcicles in,Vietnam,58M,World Population Review (Feb 2026)
Number of motorcicles in,Thailand,21.6M,World Population Review (Feb 2026)
Number of motorcicles in,Pakistan,17.5M,World Population Review (Feb 2026)
Number of motorcicles in,Malaysia,14.9M,World Population Review (Feb 2026)
Number of motorcicles in,Saudi Arabia,14.2M,World Population Review (Feb 2026)
Number of motorcicles in,Taiwan,14M,World Population Review (Feb 2026)
Number of motorcicles in,Brazil,12.9M,World Population Review (Feb 2026)
Number of motorcicles in,Iran,11.7M,World Population Review (Feb 2026)
Number of motorcicles in,Japan,10.3M,World Population Review (Feb 2026)
Number of motorcicles in,Colombia,9.4M,World Population Review (Feb 2026)
Number of motorcicles in,United States,8.6M,World Population Review (Feb 2026)
Number of motorcicles in,Nigeria,8M,World Population Review (Feb 2026)
Number of motorcicles in,Philippines,7.3M,World Population Review (Feb 2026)
Number of motorcicles in,Oman,6.6M,World Population Review (Feb 2026)
Number of motorcicles in,Argentina,6M,World Population Review (Feb 2026)
Number of motorcicles in,Italy,5.2M,World Population Review (Feb 2026)
Number of motorcicles in,Mexico,4.8M,World Population Review (Feb 2026)
Number of motorcicles in,Bangladesh,4.1M,World Population Review (Feb 2026)
Number of motorcicles in,Germany,3.8M,World Population Review (Feb 2026)
Number of motorcicles in,Turkey,3.7M,World Population Review (Feb 2026)
Number of motorcicles in,Egypt,3.3M,World Population Review (Feb 2026)
Number of motorcicles in,Dominican Republic,2.9M,World Population Review (Feb 2026)
Number of motorcicles in,Nepal,2.5M,World Population Review (Feb 2026)
Number of motorcicles in,Burkina Faso,2.4M,World Population Review (Feb 2026)
Number of motorcicles in,Russia,2.4M,World Population Review (Feb 2026)
Number of motorcicles in,South Korea,2.3M,World Population Review (Feb 2026)
Number of motorcicles in,Spain,2.1M,World Population Review (Feb 2026)
Number of motorcicles in,Guatemala,1.7M,World Population Review (Feb 2026)
Number of motorcicles in,Greece,1.7M,World Population Review (Feb 2026)
Number of motorcicles in,Mongolia,1.4M,World Population Review (Feb 2026)
Number of motorcicles in,Portugal,1.3M,World Population Review (Feb 2026)
Number of motorcicles in,Uruguay,1.3M,World Population Review (Feb 2026)
Number of motorcicles in,United Kingdom,1.3M,World Population Review (Feb 2026)
Number of motorcicles in,Poland,1.2M,World Population Review (Feb 2026)
Number of motorcicles in,Tanzania,1M,World Population Review (Feb 2026)
Number of motorcicles in,Kenya,1M,World Population Review (Feb 2026)
Number of motorcicles in,Honduras,993.6K,World Population Review (Feb 2026)
Number of motorcicles in,Australia,913.8K,World Population Review (Feb 2026)
Number of motorcicles in,Ukraine,840K,World Population Review (Feb 2026)
Number of motorcicles in,Canada,736.2K,World Population Review (Feb 2026)
Number of motorcicles in,Switzerland,729.1K,World Population Review (Feb 2026)
Number of motorcicles in,Netherlands,680K,World Population Review (Feb 2026)
Number of motorcicles in,Costa Rica,650K,World Population Review (Feb 2026)
Number of motorcicles in,Bolivia,640.6K,World Population Review (Feb 2026)
Number of motorcicles in,Paraguay,624.2K,World Population Review (Feb 2026)
Number of motorcicles in,Czechia,570.3K,World Population Review (Feb 2026)
Number of motorcicles in,Uganda,500K,World Population Review (Feb 2026)
Number of motorcicles in,Cameroon,500K,World Population Review (Feb 2026)
Number of motorcicles in,Austria,467K,World Population Review (Feb 2026)
Number of motorcicles in,Belgium,440.4K,World Population Review (Feb 2026)
Number of motorcicles in,Peru,425.4K,World Population Review (Feb 2026)
Number of motorcicles in,Cambodia,370K,World Population Review (Feb 2026)
Number of motorcicles in,South Africa,346.6K,World Population Review (Feb 2026)
Number of motorcicles in,Sri Lanka,338.4K,World Population Review (Feb 2026)
Number of motorcicles in,Sweden,330.5K,World Population Review (Feb 2026)
Number of motorcicles in,Finland,285.7K,World Population Review (Feb 2026)
Number of motorcicles in,Chile,285.4K,World Population Review (Feb 2026)
Number of motorcicles in,Venezuela,275K,World Population Review (Feb 2026)
Number of motorcicles in,France,270K,World Population Review (Feb 2026)
Number of motorcicles in,New Zealand,250K,World Population Review (Feb 2026)
Number of motorcicles in,Ethiopia,243.4K,World Population Review (Feb 2026)
Number of motorcicles in,Bulgaria,209.8K,World Population Review (Feb 2026)
Number of motorcicles in,Morocco,197.2K,World Population Review (Feb 2026)
Number of motorcicles in,Norway,191.7K,World Population Review (Feb 2026)
Number of motorcicles in,Ecuador,180K,World Population Review (Feb 2026)
Number of motorcicles in,Hungary,175.8K,World Population Review (Feb 2026)
Number of motorcicles in,Croatia,173K,World Population Review (Feb 2026)
