Description,Name,Number,Source
Number of trees in,Russia,642B,World Population Review (Feb 2026)
Number of trees in,Canada,318B,World Population Review (Feb 2026)
Number of trees in,Brazil,302B,World Population Review (Feb 2026)
Number of trees in,United States,228B,World Population Review (Feb 2026)
Number of trees in,China,140B,World Population Review (Feb 2026)
Number of trees in,DR Congo,101B,World Population Review (Feb 2026)
Number of trees in,Indonesia,80.7B,World Population Review (Feb 2026)
Number of trees in,Australia,76.7B,World Population Review (Feb 2026)
Number of trees in,Bolivia,59.3B,World Population Review (Feb 2026)
Number of trees in,Mexico,56.8B,World Population Review (Feb 2026)
Number of trees in,Colombia,51.4B,World Population Review (Feb 2026)
Number of trees in,Argentina,50.2B,World Population Review (Feb 2026)
Number of trees in,Peru,46.2B,World Population Review (Feb 2026)
Number of trees in,Angola,42.1B,World Population Review (Feb 2026)
Number of trees in,Venezuela,36.3B,World Population Review (Feb 2026)
Number of trees in,India,35.2B,World Population Review (Feb 2026)
Number of trees in,Sweden,31B,World Population Review (Feb 2026)
Number of trees in,Zambia,27.6B,World Population Review (Feb 2026)
Number of trees in,South Sudan,27.4B,World Population Review (Feb 2026)
Number of trees in,Mozambique,25.7B,World Population Review (Feb 2026)
Number of trees in,Myanmar,24.5B,World Population Review (Feb 2026)
Number of trees in,Finland,24.4B,World Population Review (Feb 2026)
Number of trees in,Central African Republic,24.3B,World Population Review (Feb 2026)
Number of trees in,Papua New Guinea,22.9B,World Population Review (Feb 2026)
Number of trees in,Madagascar,22.4B,World Population Review (Feb 2026)
Number of trees in,Tanzania,20.8B,World Population Review (Feb 2026)
Number of trees in,Cameroon,19.4B,World Population Review (Feb 2026)
Number of trees in,Chile,19.2B,World Population Review (Feb 2026)
Number of trees in,Paraguay,19B,World Population Review (Feb 2026)
Number of trees in,Japan,18.6B,World Population Review (Feb 2026)
Number of trees in,South Africa,17.8B,World Population Review (Feb 2026)
Number of trees in,Malaysia,15.1B,World Population Review (Feb 2026)
Number of trees in,Norway,14.2B,World Population Review (Feb 2026)
Number of trees in,Gabon,13.9B,World Population Review (Feb 2026)
Number of trees in,Ethiopia,13.8B,World Population Review (Feb 2026)
Number of trees in,France,12.1B,World Population Review (Feb 2026)
Number of trees in,Guyana,11.8B,World Population Review (Feb 2026)
Number of trees in,New Zealand,11.5B,World Population Review (Feb 2026)
Number of trees in,Spain,11.4B,World Population Review (Feb 2026)
Number of trees in,Nigeria,10.9B,World Population Review (Feb 2026)
Number of trees in,Ecuador,10.3B,World Population Review (Feb 2026)
Number of trees in,Laos,10B,World Population Review (Feb 2026)
Number of trees in,Vietnam,9.4B,World Population Review (Feb 2026)
Number of trees in,Guinea,8.9B,World Population Review (Feb 2026)
Number of trees in,Italy,8.8B,World Population Review (Feb 2026)
Number of trees in,Turkey,8.7B,World Population Review (Feb 2026)
Number of trees in,Germany,8.6B,World Population Review (Feb 2026)
Number of trees in,Thailand,8.3B,World Population Review (Feb 2026)
Number of trees in,Suriname,8.3B,World Population Review (Feb 2026)
Number of trees in,Botswana,8.1B,World Population Review (Feb 2026)
Number of trees in,Mongolia,7.4B,World Population Review (Feb 2026)
Number of trees in,Ukraine,7B,World Population Review (Feb 2026)
Number of trees in,Poland,6.4B,World Population Review (Feb 2026)
Number of trees in,Philippines,6.3B,World Population Review (Feb 2026)
Number of trees in,Kazakhstan,6.1B,World Population Review (Feb 2026)
Number of trees in,Belarus,5.7B,World Population Review (Feb 2026)
Number of trees in,Zimbabwe,5.7B,World Population Review (Feb 2026)
Number of trees in,Cambodia,5.6B,World Population Review (Feb 2026)
Number of trees in,French Guiana,5.1B,World Population Review (Feb 2026)
Number of trees in,North Korea,5B,World Population Review (Feb 2026)
Number of trees in,Romania,4.8B,World Population Review (Feb 2026)
Number of trees in,Honduras,4.7B,World Population Review (Feb 2026)
Number of trees in,Guatemala,4.7B,World Population Review (Feb 2026)
Number of trees in,Chad,4.7B,World Population Review (Feb 2026)
Number of trees in,Ghana,4.6B,World Population Review (Feb 2026)
Number of trees in,Nicaragua,3.9B,World Population Review (Feb 2026)
Number of trees in,South Korea,3.8B,World Population Review (Feb 2026)
Number of trees in,Nepal,3.4B,World Population Review (Feb 2026)
Number of trees in,Liberia,3.4B,World Population Review (Feb 2026)
Number of trees in,Greece,3.2B,World Population Review (Feb 2026)
Number of trees in,Malawi,3.2B,World Population Review (Feb 2026)
Number of trees in,Portugal,3.1B,World Population Review (Feb 2026)
Number of trees in,Austria,3.1B,World Population Review (Feb 2026)
Number of trees in,Sudan,3.1B,World Population Review (Feb 2026)
Number of trees in,Kenya,3B,World Population Review (Feb 2026)
Number of trees in,United Kingdom,3B,World Population Review (Feb 2026)
Number of trees in,Panama,2.9B,World Population Review (Feb 2026)
Number of trees in,Bulgaria,2.8B,World Population Review (Feb 2026)
Number of trees in,Mali,2.6B,World Population Review (Feb 2026)
Number of trees in,Georgia,2.5B,World Population Review (Feb 2026)
