"external","external href","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","mw-file-element src","tablescraper-selected-row 5","tablescraper-selected-row href 2"
"@instagram","https://www.instagram.com/instagram","Instagram","https://en.wikipedia.org/wiki/Instagram","698","Social media platform","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@cristiano","https://www.instagram.com/cristiano","Cristiano Ronaldo","https://en.wikipedia.org/wiki/Cristiano_Ronaldo","670","Footballer","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Portugal_%28official%29.svg/40px-Flag_of_Portugal_%28official%29.svg.png","Portugal","https://en.wikipedia.org/wiki/Portugal"
"@leomessi","https://www.instagram.com/leomessi","Lionel Messi","https://en.wikipedia.org/wiki/Lionel_Messi","511","Footballer","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/40px-Flag_of_Argentina.svg.png","Argentina","https://en.wikipedia.org/wiki/Argentina"
"@selenagomez","https://www.instagram.com/selenagomez","Selena Gomez","https://en.wikipedia.org/wiki/Selena_Gomez","415","Musician and actress","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@kyliejenner","https://www.instagram.com/kyliejenner","Kylie Jenner","https://en.wikipedia.org/wiki/Kylie_Jenner","391","Media personality","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@therock","https://www.instagram.com/therock","Dwayne Johnson","https://en.wikipedia.org/wiki/Dwayne_Johnson","390","Actor and professional wrestler","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@arianagrande","https://www.instagram.com/arianagrande","Ariana Grande","https://en.wikipedia.org/wiki/Ariana_Grande","372","Musician and actress","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@kimkardashian","https://www.instagram.com/kimkardashian","Kim Kardashian","https://en.wikipedia.org/wiki/Kim_Kardashian","353","Media personality","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@beyonce","https://www.instagram.com/beyonce","Beyoncé","https://en.wikipedia.org/wiki/Beyonc%C3%A9","308","Musician and actress","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
"@khloekardashian","https://www.instagram.com/khloekardashian","Khloé Kardashian","https://en.wikipedia.org/wiki/Khlo%C3%A9_Kardashian","299","Media personality","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","United States","https://en.wikipedia.org/wiki/United_States"
