"min-w-7 src","border-wpr-table_border","border-wpr-table_border href","border-wpr-table_border 2","border-wpr-table_border 3","border-wpr-table_border 4"
"https://worldpopulationreview.com/images/country-flags/svg/us.svg","United States","https://worldpopulationreview.com/countries/united-states","23.8M","25.4M","16%"
"https://worldpopulationreview.com/images/country-flags/svg/cn.svg","China","https://worldpopulationreview.com/countries/china","6.3M","6.5M","8%"
"https://worldpopulationreview.com/images/country-flags/svg/fr.svg","France","https://worldpopulationreview.com/countries/france","2.9M","3.3M","16%"
"https://worldpopulationreview.com/images/country-flags/svg/jp.svg","Japan","https://worldpopulationreview.com/countries/japan","2.7M","3.6M","28%"
"https://worldpopulationreview.com/images/country-flags/svg/de.svg","Germany","https://worldpopulationreview.com/countries/germany","2.7M","3.2M","14%"
"https://worldpopulationreview.com/images/country-flags/svg/gb.svg","United Kingdom","https://worldpopulationreview.com/countries/united-kingdom","2.6M","2.5M","-17%"
"https://worldpopulationreview.com/images/country-flags/svg/ca.svg","Canada","https://worldpopulationreview.com/countries/canada","2.1M","2.4M","21%"
"https://worldpopulationreview.com/images/country-flags/svg/au.svg","Australia","https://worldpopulationreview.com/countries/australia","1.9M","2.3M","21%"
"https://worldpopulationreview.com/images/country-flags/svg/it.svg","Italy","https://worldpopulationreview.com/countries/italy","1.3M","1.5M","9%"
"https://worldpopulationreview.com/images/country-flags/svg/kr.svg","South Korea","https://worldpopulationreview.com/countries/south-korea","1.3M","1.6M","27%"
"https://worldpopulationreview.com/images/country-flags/svg/nl.svg","Netherlands","https://worldpopulationreview.com/countries/netherlands","1.3M","1.2M","-4%"
"https://worldpopulationreview.com/images/country-flags/svg/es.svg","Spain","https://worldpopulationreview.com/countries/spain","1.2M","1.3M","12%"
"https://worldpopulationreview.com/images/country-flags/svg/ch.svg","Switzerland","https://worldpopulationreview.com/countries/switzerland","1.1M","1.3M","19%"
"https://worldpopulationreview.com/images/country-flags/svg/in.svg","India","https://worldpopulationreview.com/countries/india","917K","1.1M","22%"
"https://worldpopulationreview.com/images/country-flags/svg/tw.svg","Taiwan","https://worldpopulationreview.com/countries/taiwan","759K","1.2M","47%"
"https://worldpopulationreview.com/images/country-flags/svg/hk.svg","Hong Kong","https://worldpopulationreview.com/countries/hong-kong","647K","737.7K","17%"
"https://worldpopulationreview.com/images/country-flags/svg/be.svg","Belgium","https://worldpopulationreview.com/countries/belgium","549K","653.9K","16%"
"https://worldpopulationreview.com/images/country-flags/svg/se.svg","Sweden","https://worldpopulationreview.com/countries/sweden","490K","703.2K","22%"
"https://worldpopulationreview.com/images/country-flags/svg/br.svg","Brazil","https://worldpopulationreview.com/countries/brazil","433K","463.8K","22%"
"https://worldpopulationreview.com/images/country-flags/svg/ru.svg","Russia","https://worldpopulationreview.com/countries/russia","426K","461.5K","21%"
"https://worldpopulationreview.com/images/country-flags/svg/mx.svg","Mexico","https://worldpopulationreview.com/countries/mexico","399K","411.7K","24%"
"https://worldpopulationreview.com/images/country-flags/svg/dk.svg","Denmark","https://worldpopulationreview.com/countries/denmark","376K","",""
"https://worldpopulationreview.com/images/country-flags/svg/no.svg","Norway","https://worldpopulationreview.com/countries/norway","348K","308.2K","22%"
"https://worldpopulationreview.com/images/country-flags/svg/sa.svg","Saudi Arabia","https://worldpopulationreview.com/countries/saudi-arabia","339K","403.9K","15%"
"https://worldpopulationreview.com/images/country-flags/svg/sg.svg","Singapore","https://worldpopulationreview.com/countries/singapore","331K","375.7K","13%"
"https://worldpopulationreview.com/images/country-flags/svg/id.svg","Indonesia","https://worldpopulationreview.com/countries/indonesia","","235.1K","32%"
"https://worldpopulationreview.com/images/country-flags/svg/tr.svg","Turkey","https://worldpopulationreview.com/countries/turkey","","87.1K","43%"
"https://worldpopulationreview.com/images/country-flags/svg/th.svg","Thailand","https://worldpopulationreview.com/countries/thailand","","123.5K","24%"
"https://worldpopulationreview.com/images/country-flags/svg/za.svg","South Africa","https://worldpopulationreview.com/countries/south-africa","","108.6K","20%"
"https://worldpopulationreview.com/images/country-flags/svg/kz.svg","Kazakhstan","https://worldpopulationreview.com/countries/kazakhstan","","60.9K","37%"
"https://worldpopulationreview.com/images/country-flags/svg/cl.svg","Chile","https://worldpopulationreview.com/countries/chile","","95.2K","17%"
"https://worldpopulationreview.com/images/country-flags/svg/ae.svg","United Arab Emirates","https://worldpopulationreview.com/countries/united-arab-emirates","","232.1K","15%"
"https://worldpopulationreview.com/images/country-flags/svg/pt.svg","Portugal","https://worldpopulationreview.com/countries/portugal","","189.2K","10%"
"https://worldpopulationreview.com/images/country-flags/svg/gr.svg","Greece","https://worldpopulationreview.com/countries/greece","","80.3K",""
"https://worldpopulationreview.com/images/country-flags/svg/il.svg","Israel","https://worldpopulationreview.com/countries/israel","","226.2K","26%"
"https://worldpopulationreview.com/images/country-flags/svg/hu.svg","Hungary","https://worldpopulationreview.com/countries/hungary","","28.3K","14%"
"https://worldpopulationreview.com/images/country-flags/svg/qa.svg","Qatar","https://worldpopulationreview.com/countries/qatar","","29.9K","14%"
"","Total","","57.3M","64.5M",""
