"z-0 href","hidden src","mr-2","min-w-[1"
"https://worldpopulationreview.com/categories/agriculture","https://worldpopulationreview.com/_astro/agriculture.CicJywUp.jpg","Agriculture","200"
"https://worldpopulationreview.com/categories/crime-safety","https://worldpopulationreview.com/_astro/crime-safety.ewfdppod.jpg","Crime/Safety","86"
"https://worldpopulationreview.com/categories/culture","https://worldpopulationreview.com/_astro/culture.C8rAiOls.jpg","Culture","563"
"https://worldpopulationreview.com/categories/economics","https://worldpopulationreview.com/_astro/economics.Dcj3qthB.jpg","Economics","390"
"https://worldpopulationreview.com/categories/education","https://worldpopulationreview.com/_astro/education.DIYN-BKZ.jpg","Education","86"
"https://worldpopulationreview.com/categories/environment","https://worldpopulationreview.com/_astro/environment.BlVELCkh.jpg","Environment","247"
"https://worldpopulationreview.com/categories/facts-trivia","https://worldpopulationreview.com/_astro/facts-trivia.C-i4cpAR.jpg","Facts/Trivia","260"
"https://worldpopulationreview.com/categories/flags","https://worldpopulationreview.com/_astro/flags.e6inale5.jpg","Flags","27"
"https://worldpopulationreview.com/categories/geography","https://worldpopulationreview.com/_astro/geography.B59XaUIr.jpg","Geography","242"
"https://worldpopulationreview.com/categories/health","https://worldpopulationreview.com/_astro/health.D6RFn1XW.jpg","Health","325"
"https://worldpopulationreview.com/categories/history","https://worldpopulationreview.com/_astro/history.D7zOQ-T5.jpg","History","77"
"https://worldpopulationreview.com/categories/infrastructure-energy","https://worldpopulationreview.com/_astro/infrastructure-energy.BSsaBT0Z.jpg","Infrastructure/Energy","105"
"https://worldpopulationreview.com/categories/law","https://worldpopulationreview.com/_astro/law.BofDFSB8.jpg","Law","552"
"https://worldpopulationreview.com/categories/manufacturing-mining","https://worldpopulationreview.com/_astro/manufacturing-mining.BfyYzOsq.jpg","Manufacturing/Mining","100"
"https://worldpopulationreview.com/categories/military","https://worldpopulationreview.com/_astro/military.TFTFi1JI.jpg","Military","51"
"https://worldpopulationreview.com/categories/politics-government","https://worldpopulationreview.com/_astro/politics-government.eCOIoq_C.jpg","Politics/Government","365"
"https://worldpopulationreview.com/categories/population","https://worldpopulationreview.com/_astro/population.BIrg4MeT.jpg","Population","343"
"https://worldpopulationreview.com/categories/sports","https://worldpopulationreview.com/_astro/sports.BHCP7yh0.jpg","Sports","73"
"https://worldpopulationreview.com/categories/tech-business","https://worldpopulationreview.com/_astro/tech-business.CTt9jsjm.jpg","Tech/Business","251"
"https://worldpopulationreview.com/categories/travel","https://worldpopulationreview.com/_astro/travel.BMrLMNUl.jpg","Travel","85"
