"min-w-7 src","border-wpr-table_border","border-wpr-table_border href","border-wpr-table_border 2","border-wpr-table_border 3"
"https://worldpopulationreview.com/images/country-flags/svg/bw.svg","Botswana","https://worldpopulationreview.com/countries/botswana","131,909","2022"
"https://worldpopulationreview.com/images/country-flags/svg/ga.svg","Gabon","https://worldpopulationreview.com/countries/gabon","95,000","2021"
"https://worldpopulationreview.com/images/country-flags/svg/zw.svg","Zimbabwe","https://worldpopulationreview.com/countries/zimbabwe","65,028","2022"
"https://worldpopulationreview.com/images/country-flags/svg/tz.svg","Tanzania","https://worldpopulationreview.com/countries/tanzania","60,000","2024"
"https://worldpopulationreview.com/images/country-flags/svg/ke.svg","Kenya","https://worldpopulationreview.com/countries/kenya","36,280","2021"
"https://worldpopulationreview.com/images/country-flags/svg/za.svg","South Africa","https://worldpopulationreview.com/countries/south-africa","31,324","2020"
"https://worldpopulationreview.com/images/country-flags/svg/zm.svg","Zambia","https://worldpopulationreview.com/countries/zambia","21,758","2022"
"https://worldpopulationreview.com/images/country-flags/svg/na.svg","Namibia","https://worldpopulationreview.com/countries/namibia","21,090","2022"
"https://worldpopulationreview.com/images/country-flags/svg/mz.svg","Mozambique","https://worldpopulationreview.com/countries/mozambique","10,884","2016"
"https://worldpopulationreview.com/images/country-flags/svg/ug.svg","Uganda","https://worldpopulationreview.com/countries/uganda","7,975","2022"
"https://worldpopulationreview.com/images/country-flags/svg/cm.svg","Cameroon","https://worldpopulationreview.com/countries/cameroon","6,830","2016"
"https://worldpopulationreview.com/images/country-flags/svg/cg.svg","Republic of the Congo","https://worldpopulationreview.com/countries/republic-of-the-congo","6,057","2016"
"https://worldpopulationreview.com/images/country-flags/svg/bf.svg","Burkina Faso","https://worldpopulationreview.com/countries/burkina-faso","6,000","2023"
"https://worldpopulationreview.com/images/country-flags/svg/ao.svg","Angola","https://worldpopulationreview.com/countries/angola","5,983","2022"
"https://worldpopulationreview.com/images/country-flags/svg/bj.svg","Benin","https://worldpopulationreview.com/countries/benin","2,984","2016"
"https://worldpopulationreview.com/images/country-flags/svg/cd.svg","DR Congo","https://worldpopulationreview.com/countries/dr-congo","1,794","2016"
"https://worldpopulationreview.com/images/country-flags/svg/et.svg","Ethiopia","https://worldpopulationreview.com/countries/ethiopia","1,017","2016"
"https://worldpopulationreview.com/images/country-flags/svg/gh.svg","Ghana","https://worldpopulationreview.com/countries/ghana","994","2016"
"https://worldpopulationreview.com/images/country-flags/svg/gq.svg","Equatorial Guinea","https://worldpopulationreview.com/countries/equatorial-guinea","884","2016"
"https://worldpopulationreview.com/images/country-flags/svg/td.svg","Chad","https://worldpopulationreview.com/countries/chad","794","2016"
"https://worldpopulationreview.com/images/country-flags/svg/cf.svg","Central African Republic","https://worldpopulationreview.com/countries/central-african-republic","702","2016"
"https://worldpopulationreview.com/images/country-flags/svg/ne.svg","Niger","https://worldpopulationreview.com/countries/niger","492","2019"
"https://worldpopulationreview.com/images/country-flags/svg/lr.svg","Liberia","https://worldpopulationreview.com/countries/liberia","450","2021"
"https://worldpopulationreview.com/images/country-flags/svg/ng.svg","Nigeria","https://worldpopulationreview.com/countries/nigeria","400","2024"
"https://worldpopulationreview.com/images/country-flags/svg/ss.svg","South Sudan","https://worldpopulationreview.com/countries/south-sudan","300","2023"
"https://worldpopulationreview.com/images/country-flags/svg/ml.svg","Mali","https://worldpopulationreview.com/countries/mali","253","2016"
"https://worldpopulationreview.com/images/country-flags/svg/ci.svg","Ivory Coast","https://worldpopulationreview.com/countries/ivory-coast","225","2020"
"https://worldpopulationreview.com/images/country-flags/svg/mw.svg","Malawi","https://worldpopulationreview.com/countries/malawi","120","2020"
"https://worldpopulationreview.com/images/country-flags/svg/gn.svg","Guinea","https://worldpopulationreview.com/countries/guinea","100","2017"
"https://worldpopulationreview.com/images/country-flags/svg/rw.svg","Rwanda","https://worldpopulationreview.com/countries/rwanda","88","2016"
"https://worldpopulationreview.com/images/country-flags/svg/er.svg","Eritrea","https://worldpopulationreview.com/countries/eritrea","50","2016"
"https://worldpopulationreview.com/images/country-flags/svg/sz.svg","Eswatini","https://worldpopulationreview.com/countries/eswatini","45","2016"
"https://worldpopulationreview.com/images/country-flags/svg/gw.svg","Guinea-Bissau","https://worldpopulationreview.com/countries/guinea-bissau","40","2016"
"https://worldpopulationreview.com/images/country-flags/svg/sd.svg","Sudan","https://worldpopulationreview.com/countries/sudan","3","2019"
"https://worldpopulationreview.com/images/country-flags/svg/tg.svg","Togo","https://worldpopulationreview.com/countries/togo","3","2024"
"https://worldpopulationreview.com/images/country-flags/svg/sn.svg","Senegal","https://worldpopulationreview.com/countries/senegal","1","2021"
"https://worldpopulationreview.com/images/country-flags/svg/sl.svg","Sierra Leone","https://worldpopulationreview.com/countries/sierra-leone","1","2022"
"https://worldpopulationreview.com/images/country-flags/svg/in.svg","India","https://worldpopulationreview.com/countries/india","27,312","2020"
"https://worldpopulationreview.com/images/country-flags/svg/cn.svg","China","https://worldpopulationreview.com/countries/china","300","2024"
"https://worldpopulationreview.com/images/country-flags/svg/id.svg","Indonesia","https://worldpopulationreview.com/countries/indonesia","1,700","2020"
"https://worldpopulationreview.com/images/country-flags/svg/bd.svg","Bangladesh","https://worldpopulationreview.com/countries/bangladesh","200","2024"
