Country,Number of cities,Flag URL,Wikipedia URL,Number of cities with at least 5 million,Number of cities with at least 10 million
China,130,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/40px-Flag_of_the_People%27s_Republic_of_China.svg.png,https://en.wikipedia.org/wiki/China,24,7
India,60,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/40px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/India,6,4
Russia,16,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/40px-Flag_of_Russia.svg.png,https://en.wikipedia.org/wiki/Russia,2,1
Brazil,15,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/40px-Flag_of_Brazil.svg.png,https://en.wikipedia.org/wiki/Brazil,2,1
Indonesia,14,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/40px-Flag_of_Indonesia.svg.png,https://en.wikipedia.org/wiki/Indonesia,1,1
Japan,12,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/40px-Flag_of_Japan.svg.png,https://en.wikipedia.org/wiki/Japan,1,1
South Korea,11,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/40px-Flag_of_South_Korea.svg.png,https://en.wikipedia.org/wiki/South_Korea,1,0
United States,1,https://upload.wikimedia.org/wikipedia/commons/5/5d/Flag_of_the_United_States_%2823px%29.png,https://en.wikipedia.org/wiki/United_States,0,
Mexico,10,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/40px-Flag_of_Mexico.svg.png,https://en.wikipedia.org/wiki/Mexico,1,0
Pakistan,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/40px-Flag_of_Pakistan.svg.png,https://en.wikipedia.org/wiki/Pakistan,2,
Turkey,2,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/40px-Flag_of_Turkey.svg.png,https://en.wikipedia.org/wiki/Turkey,1,
Nigeria,9,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/40px-Flag_of_Nigeria.svg.png,https://en.wikipedia.org/wiki/Nigeria,1,1
Iran,8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/40px-Flag_of_Iran.svg.png,https://en.wikipedia.org/wiki/Iran,1,0
DR Congo,7,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,1,1
South Africa,6,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/40px-Flag_of_South_Africa.svg.png,https://en.wikipedia.org/wiki/South_Africa,0,0
Taiwan,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/40px-Flag_of_the_Republic_of_China.svg.png,https://en.wikipedia.org/wiki/Taiwan,0,
Philippines,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/40px-Flag_of_the_Philippines.svg.png,https://en.wikipedia.org/wiki/Philippines,0,
Canada,5,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/40px-Flag_of_Canada_%28Pantone%29.svg.png,https://en.wikipedia.org/wiki/Canada,1,0
Colombia,1,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/40px-Flag_of_Colombia.svg.png,https://en.wikipedia.org/wiki/Colombia,0,
Saudi Arabia,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/40px-Flag_of_Saudi_Arabia.svg.png,https://en.wikipedia.org/wiki/Saudi_Arabia,0,
Egypt,4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/40px-Flag_of_Egypt.svg.png,https://en.wikipedia.org/wiki/Egypt,2,0
Germany,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/40px-Flag_of_Germany.svg.png,https://en.wikipedia.org/wiki/Germany,0,
Iraq,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/40px-Flag_of_Iraq.svg.png,https://en.wikipedia.org/wiki/Iraq,0,
Morocco,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/40px-Flag_of_Morocco.svg.png,https://en.wikipedia.org/wiki/Morocco,0,
Peru,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/40px-Flag_of_Peru.svg.png,https://en.wikipedia.org/wiki/Peru,1,
Argentina,3,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/40px-Flag_of_Argentina.svg.png,https://en.wikipedia.org/wiki/Argentina,0,0
Bangladesh,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/40px-Flag_of_Bangladesh.svg.png,https://en.wikipedia.org/wiki/Bangladesh,0,
Kazakhstan,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/40px-Flag_of_Kazakhstan.svg.png,https://en.wikipedia.org/wiki/Kazakhstan,0,
Myanmar,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/40px-Flag_of_Myanmar.svg.png,https://en.wikipedia.org/wiki/Myanmar,0,
Sudan,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/40px-Flag_of_Sudan.svg.png,https://en.wikipedia.org/wiki/Sudan,0,
Ukraine,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/40px-Flag_of_Ukraine.svg.png,https://en.wikipedia.org/wiki/Ukraine,0,
United Arab Emirates,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/40px-Flag_of_the_United_Arab_Emirates.svg.png,https://en.wikipedia.org/wiki/United_Arab_Emirates,0,
Venezuela,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/40px-Flag_of_Venezuela.svg.png,https://en.wikipedia.org/wiki/Venezuela,0,
Cameroon,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/40px-Flag_of_Cameroon.svg.png,https://en.wikipedia.org/wiki/Cameroon,0,0
Dominican Republic,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/40px-Flag_of_the_Dominican_Republic.svg.png,https://en.wikipedia.org/wiki/Dominican_Republic,0,
Ecuador,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/40px-Flag_of_Ecuador.svg.png,https://en.wikipedia.org/wiki/Ecuador,0,
Ghana,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/40px-Flag_of_Ghana.svg.png,https://en.wikipedia.org/wiki/Ghana,0,
Italy,0,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/40px-Flag_of_Italy.svg.png,https://en.wikipedia.org/wiki/Italy,0,
Kenya,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/40px-Flag_of_Kenya.svg.png,https://en.wikipedia.org/wiki/Kenya,0,
Mozambique,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/40px-Flag_of_Mozambique.svg.png,https://en.wikipedia.org/wiki/Mozambique,0,
Republic of the Congo,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/40px-Flag_of_the_Republic_of_the_Congo.svg.png,https://en.wikipedia.org/wiki/Republic_of_the_Congo,0,
Spain,0,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/40px-Flag_of_Spain.svg.png,https://en.wikipedia.org/wiki/Spain,0,
Senegal,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/40px-Flag_of_Senegal.svg.png,https://en.wikipedia.org/wiki/Senegal,0,
Somalia,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/40px-Flag_of_Somalia.svg.png,https://en.wikipedia.org/wiki/Somalia,0,
Syria,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Syria_%282025-%29.svg/40px-Flag_of_Syria_%282025-%29.svg.png,https://en.wikipedia.org/wiki/Syria,0,
Tanzania,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/40px-Flag_of_Tanzania.svg.png,https://en.wikipedia.org/wiki/Tanzania,0,
United Kingdom,1,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,https://en.wikipedia.org/wiki/United_Kingdom,0,
