Name,Source,Population,Yearly Change,Net Change,Density per km2,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
India,https://www.worldometers.info/world-population/india-population/,"1,476,625,576",0.87%,"12,760,051",497,"2,973,190","−440,456",1.93,29.2,37.6%,17.79%
China,https://www.worldometers.info/world-population/china-population/,"1,412,914,089",−0.22%,"−3,182,005",150,"9,388,211","−232,107",1.03,40.6,68.7%,17.02%
United States,https://www.worldometers.info/world-population/us-population/,"349,035,494",0.51%,"1,759,687",38,"9,147,420","1,177,848",1.63,38.7,83.1%,4.20%
Indonesia,https://www.worldometers.info/world-population/indonesia-population/,"287,886,782",0.76%,"2,165,546",159,"1,811,570","−39,472",2.08,30.7,60.3%,3.47%
Pakistan,https://www.worldometers.info/world-population/pakistan-population/,"259,299,791",1.6%,"4,080,237",336,"770,880","−1,144,738",3.44,20.8,34.7%,3.12%
Nigeria,https://www.worldometers.info/world-population/nigeria-population/,"242,431,832",2.06%,"4,904,050",266,"910,770","−2,810",4.21,18.3,55.8%,2.92%
Brazil,https://www.worldometers.info/world-population/brazil-population/,"213,562,666",0.35%,"750,261",26,"8,358,140","−205,642",1.59,35.3,91.7%,2.57%
Bangladesh,https://www.worldometers.info/world-population/bangladesh-population/,"177,818,044",1.21%,"2,131,145","1,366","130,170","−371,398",2.09,26.3,43.2%,2.14%
Russia,https://www.worldometers.info/world-population/russia-population/,"143,394,458",−0.42%,"−602,935",9,"16,376,870","324,924",1.47,40.7,75.4%,1.73%
Ethiopia,https://www.worldometers.info/world-population/ethiopia-population/,"138,902,185",2.53%,"3,430,134",139,"1,000,000","27,298",3.72,19.3,22.9%,1.67%
Mexico,https://www.worldometers.info/world-population/mexico-population/,"132,997,658",0.8%,"1,050,758",68,"1,943,950","−109,844",1.85,30,88.3%,1.60%
Japan,https://www.worldometers.info/world-population/japan-population/,"122,427,731",−0.55%,"−675,748",336,"364,555","128,619",1.23,50.2,93.4%,1.47%
Egypt,https://www.worldometers.info/world-population/egypt-population/,"120,101,175",1.47%,"1,735,180",121,"995,450","−52,287",2.68,24.7,41.1%,1.45%
Philippines,https://www.worldometers.info/world-population/philippines-population/,"117,724,471",0.8%,"937,509",395,"298,170","−144,275",1.86,26.6,49.9%,1.42%
DR Congo,https://www.worldometers.info/world-population/democratic-republic-of-the-congo-population/,"116,452,162",3.21%,"3,619,689",51,"2,267,050","−28,843",5.8,15.9,45.4%,1.40%
Vietnam,https://www.worldometers.info/world-population/vietnam-population/,"102,177,431",0.57%,"578,904",330,"310,070","−51,045",1.86,33.9,42.2%,1.23%
Iran,https://www.worldometers.info/world-population/iran-population/,"93,168,497",0.81%,"750,816",57,"1,628,550","66,848",1.66,34.5,73.5%,1.12%
Turkey,https://www.worldometers.info/world-population/turkey-population/,"87,926,082",0.27%,"240,656",114,"769,630","−217,896",1.62,33.9,77.5%,1.06%
Germany,https://www.worldometers.info/world-population/germany-population/,"83,644,258",−0.51%,"−430,817",240,"348,560","158,442",1.46,45.7,77%,1.01%
Tanzania,https://www.worldometers.info/world-population/tanzania-population/,"72,563,780",2.86%,"2,017,915",82,"885,800","−25,275",4.41,17.6,40.8%,0.87%
Thailand,https://www.worldometers.info/world-population/thailand-population/,"71,559,614",−0.08%,"−60,249",140,"510,890","29,200",1.19,41,54.3%,0.86%
United Kingdom,https://www.worldometers.info/world-population/uk-population/,"69,931,528",0.55%,"380,196",289,"241,930","364,099",1.53,40.2,84.7%,0.84%
France,https://www.worldometers.info/world-population/france-population/,"66,746,401",0.14%,"95,597",122,"547,557","88,533",1.64,42.5,83%,0.80%
South Africa,https://www.worldometers.info/world-population/south-africa-population/,"65,453,084",1.09%,"705,765",54,"1,213,090","131,684",2.17,28.9,66.9%,0.79%
Italy,https://www.worldometers.info/world-population/italy-population/,"58,926,166",−0.37%,"−220,094",200,"294,140","58,272",1.22,48.6,72.4%,0.71%
Kenya,https://www.worldometers.info/world-population/kenya-population/,"58,636,412",1.92%,"1,103,919",103,"569,140","−34,838",3.07,20.3,32.6%,0.71%
Myanmar,https://www.worldometers.info/world-population/myanmar-population/,"55,184,819",0.61%,"334,171",84,"653,290","−40,682",2.06,30.4,34.6%,0.66%
Colombia,https://www.worldometers.info/world-population/colombia-population/,"53,936,226",0.96%,"510,591",49,"1,109,500","115,815",1.6,33,80.5%,0.65%
Sudan,https://www.worldometers.info/world-population/sudan-population/,"53,282,719",3.14%,"1,620,572",30,"1,765,048","252,038",4.13,18.8,35.4%,0.64%
Uganda,https://www.worldometers.info/world-population/uganda-population/,"52,761,469",2.68%,"1,376,575",264,"199,810","−121,799",3.97,17.1,30.8%,0.64%
South Korea,https://www.worldometers.info/world-population/south-korea-population/,"51,600,388",−0.13%,"−66,641",531,"97,230","62,644",0.76,46.2,82.8%,0.62%
Algeria,https://www.worldometers.info/world-population/algeria-population/,"48,028,334",1.25%,"593,022",20,"2,381,740","−28,841",2.62,28.8,74.8%,0.58%
Iraq,https://www.worldometers.info/world-population/iraq-population/,"48,007,437",2.1%,"986,663",111,"434,320","−13,102",3.13,21.1,73%,0.58%
Spain,https://www.worldometers.info/world-population/spain-population/,"47,850,793",−0.08%,"−39,165",96,"498,800","85,305",1.24,46.3,79.6%,0.58%
Argentina,https://www.worldometers.info/world-population/argentina-population/,"46,003,734",0.33%,"152,356",17,"2,736,690","2,316",1.51,33.3,96.5%,0.55%
Afghanistan,https://www.worldometers.info/world-population/afghanistan-population/,"45,047,069",2.74%,"1,202,958",69,"652,860","−53,884",4.56,17.4,26.9%,0.54%
Yemen,https://www.worldometers.info/world-population/yemen-population/,"42,961,653",2.84%,"1,187,775",81,"527,970","−22,178",4.33,18.5,33.3%,0.52%
Canada,https://www.worldometers.info/world-population/canada-population/,"40,467,728",0.85%,"341,005",4,"9,093,510","291,403",1.33,40.8,80.2%,0.49%
Angola,https://www.worldometers.info/world-population/angola-population/,"40,215,179",3.01%,"1,175,140",32,"1,246,700","−4,270",4.89,16.7,69.4%,0.48%
Ukraine,https://www.worldometers.info/world-population/ukraine-population/,"39,535,849",1.43%,"555,473",68,"579,320","−6,229",1,41.8,75.5%,0.48%
Morocco,https://www.worldometers.info/world-population/morocco-population/,"38,762,441",0.86%,"331,671",87,"446,300","−60,886",2.16,30.1,67.9%,0.47%
Poland,https://www.worldometers.info/world-population/poland-population/,"37,843,188",−0.78%,"−297,722",124,"306,230","−7,971",1.31,43,59.7%,0.46%
Uzbekistan,https://www.worldometers.info/world-population/uzbekistan-population/,"37,724,223",1.81%,"670,795",89,"425,400","−4,517",3.4,27,47.9%,0.45%
Mozambique,https://www.worldometers.info/world-population/mozambique-population/,"36,639,851",2.83%,"1,008,198",47,"786,380","−55,988",4.54,16.6,42.1%,0.44%
Malaysia,https://www.worldometers.info/world-population/malaysia-population/,"36,385,115",1.13%,"407,277",111,"328,550","159,001",1.52,31.4,77.8%,0.44%
Ghana,https://www.worldometers.info/world-population/ghana-population/,"35,697,557",1.81%,"633,285",157,"227,540","−24,195",3.26,21.6,59.2%,0.43%
Saudi Arabia,https://www.worldometers.info/world-population/saudi-arabia-population/,"35,165,787",1.73%,"599,459",16,"2,149,690","108,660",2.27,29.7,91.9%,0.42%
Peru,https://www.worldometers.info/world-population/peru-population/,"34,922,148",1%,"345,483",27,"1,280,000","6,707",1.93,30.6,80.9%,0.42%
Madagascar,https://www.worldometers.info/world-population/madagascar-population/,"33,522,052",2.39%,"781,374",58,"581,795","−2,665",3.78,19.4,41%,0.40%
Côte d'Ivoire,https://www.worldometers.info/world-population/cote-d-ivoire-population/,"33,494,346",2.39%,"782,799",105,"318,000","6,535",4.1,18.5,49.5%,0.40%
Cameroon,https://www.worldometers.info/world-population/cameroon-population/,"30,640,817",2.55%,"761,480",65,"472,710","−18,922",4.12,18.2,59.8%,0.37%
Nepal,https://www.worldometers.info/world-population/nepal-population/,"29,629,410",0.04%,"11,292",207,"143,350","−292,014",1.92,25.7,25.3%,0.36%
Niger,https://www.worldometers.info/world-population/niger-population/,"28,814,878",3.21%,"897,047",23,"1,266,700","−10,620",5.64,15.7,18.5%,0.35%
Venezuela,https://www.worldometers.info/world-population/venezuela-population/,"28,633,711",0.41%,"116,815",32,"882,050","−92,869",2.04,29.5,–,0.34%
Australia,https://www.worldometers.info/world-population/australia-population/,"27,227,096",0.94%,"253,070",4,"7,682,300","131,706",1.64,38.5,86.7%,0.33%
