"tablescraper-selected-row","external","external href","tablescraper-selected-row 2","tablescraper-selected-row href","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","mw-file-element src","mw-file-element src 2","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row href 2","tablescraper-selected-row 7"
"1","@khaby.lame","https://www.tiktok.com/@khaby.lame","Khaby Lame","https://en.wikipedia.org/wiki/Khaby_Lame","160.4","2.6","Social media personality",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}","https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/40px-Flag_of_Italy.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/40px-Flag_of_Senegal.svg.png","5","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-5","[","]","",""
"2","@charlidamelio","https://www.tiktok.com/@charlidamelio","Charli D'Amelio","https://en.wikipedia.org/wiki/Charli_D%27Amelio","155.8","11.9","Dancer and social media personality","United States","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","","6","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-6","[","]","https://en.wikipedia.org/wiki/United_States",""
"3","@mrbeast","https://www.tiktok.com/@mrbeast","MrBeast","https://en.wikipedia.org/wiki/MrBeast","124.6","1.3","Social media personality","United States","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","","7","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-7","[","]","https://en.wikipedia.org/wiki/United_States",""
"4","@tiktok","https://www.tiktok.com/@tiktok","TikTok","https://en.wikipedia.org/wiki/TikTok","0.45","Social media platform","","China","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/40px-Flag_of_the_People%27s_Republic_of_China.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Check-green.svg/20px-Check-green.svg.png","8","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-8","[","]","https://en.wikipedia.org/wiki/China","92.8"
"5","@bellapoarch","https://www.tiktok.com/@bellapoarch","Bella Poarch","https://en.wikipedia.org/wiki/Bella_Poarch","92.7","2.4","Singer and social media personality","Philippines","https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/40px-Flag_of_the_Philippines.svg.png","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","9","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-9","[","]","https://en.wikipedia.org/wiki/Philippines","United States"
"6","@addisonre","https://www.tiktok.com/@addisonre","Addison Rae","https://en.wikipedia.org/wiki/Addison_Rae","88.3","5.3","Singer and actress","United States","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","","10","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-10","[","]","https://en.wikipedia.org/wiki/United_States",""
"7","@zachking","https://www.tiktok.com/@zachking","Zach King","https://en.wikipedia.org/wiki/Zach_King","84.3","1.2","Social media personality","United States","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","","11","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-11","[","]","https://en.wikipedia.org/wiki/United_States",""
"8","@williesalim","https://www.tiktok.com/@williesalim","Indonesia","https://en.wikipedia.org/wiki/Indonesia","83.9","1.6","Social media personality","","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/40px-Flag_of_Indonesia.svg.png","","12","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-12","[","]","","Willie Salim"
"9","@kimberly.loaiza","https://www.tiktok.com/@kimberly.loaiza","Kimberly Loaiza","https://en.wikipedia.org/wiki/Kimberly_Loaiza","83.7","4.2","Social media personality","Mexico","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/40px-Flag_of_Mexico.svg.png","","","","","","https://en.wikipedia.org/wiki/Mexico",""
"10","@therock","https://www.tiktok.com/@therock","Dwayne Johnson","https://en.wikipedia.org/wiki/Dwayne_Johnson","79.8","0.65","Actor and professional wrestler","United States","https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png","","13","https://en.wikipedia.org/wiki/List_of_most-followed_TikTok_accounts#cite_note-13","[","]","https://en.wikipedia.org/wiki/United_States",""
