Description,Name,Number,Source
Human Population in,India,"1476625576",Worldometers (Feb 2026)
Human Population in,China,"1412914089",Worldometers (Feb 2026)
Human Population in,United States,"349035494",Worldometers (Feb 2026)
Human Population in,Indonesia,"287886782",Worldometers (Feb 2026)
Human Population in,Pakistan,"259299791",Worldometers (Feb 2026)
Human Population in,Nigeria,"242431832",Worldometers (Feb 2026)
Human Population in,Brazil,"213562666",Worldometers (Feb 2026)
Human Population in,Bangladesh,"177818044",Worldometers (Feb 2026)
Human Population in,Russia,"143394458",Worldometers (Feb 2026)
Human Population in,Ethiopia,"138902185",Worldometers (Feb 2026)
Human Population in,Mexico,"132997658",Worldometers (Feb 2026)
Human Population in,Japan,"122427731",Worldometers (Feb 2026)
Human Population in,Egypt,"120101175",Worldometers (Feb 2026)
Human Population in,Philippines,"117724471",Worldometers (Feb 2026)
Human Population in,DR Congo,"116452162",Worldometers (Feb 2026)
Human Population in,Vietnam,"102177431",Worldometers (Feb 2026)
Human Population in,Iran,"93168497",Worldometers (Feb 2026)
Human Population in,Turkey,"87926082",Worldometers (Feb 2026)
Human Population in,Germany,"83644258",Worldometers (Feb 2026)
Human Population in,Tanzania,"72563780",Worldometers (Feb 2026)
Human Population in,Thailand,"71559614",Worldometers (Feb 2026)
Human Population in,United Kingdom,"69931528",Worldometers (Feb 2026)
Human Population in,France,"66746401",Worldometers (Feb 2026)
Human Population in,South Africa,"65453084",Worldometers (Feb 2026)
Human Population in,Italy,"58926166",Worldometers (Feb 2026)
Human Population in,Kenya,"58636412",Worldometers (Feb 2026)
Human Population in,Myanmar,"55184819",Worldometers (Feb 2026)
Human Population in,Colombia,"53936226",Worldometers (Feb 2026)
Human Population in,Sudan,"53282719",Worldometers (Feb 2026)
Human Population in,Uganda,"52761469",Worldometers (Feb 2026)
Human Population in,South Korea,"51600388",Worldometers (Feb 2026)
Human Population in,Algeria,"48028334",Worldometers (Feb 2026)
Human Population in,Iraq,"48007437",Worldometers (Feb 2026)
Human Population in,Spain,"47850793",Worldometers (Feb 2026)
Human Population in,Argentina,"46003734",Worldometers (Feb 2026)
Human Population in,Afghanistan,"45047069",Worldometers (Feb 2026)
Human Population in,Yemen,"42961653",Worldometers (Feb 2026)
Human Population in,Canada,"40467728",Worldometers (Feb 2026)
Human Population in,Angola,"40215179",Worldometers (Feb 2026)
Human Population in,Ukraine,"39535849",Worldometers (Feb 2026)
Human Population in,Morocco,"38762441",Worldometers (Feb 2026)
Human Population in,Poland,"37843188",Worldometers (Feb 2026)
Human Population in,Uzbekistan,"37724223",Worldometers (Feb 2026)
Human Population in,Mozambique,"36639851",Worldometers (Feb 2026)
Human Population in,Malaysia,"36385115",Worldometers (Feb 2026)
Human Population in,Ghana,"35697557",Worldometers (Feb 2026)
Human Population in,Saudi Arabia,"35165787",Worldometers (Feb 2026)
Human Population in,Peru,"34922148",Worldometers (Feb 2026)
Human Population in,Madagascar,"33522052",Worldometers (Feb 2026)
Human Population in,Côte d'Ivoire,"33494346",Worldometers (Feb 2026)
Human Population in,Cameroon,"30640817",Worldometers (Feb 2026)
Human Population in,Nepal,"29629410",Worldometers (Feb 2026)
Human Population in,Niger,"28814878",Worldometers (Feb 2026)
Human Population in,Venezuela,"28633711",Worldometers (Feb 2026)
Human Population in,Australia,"27227096",Worldometers (Feb 2026)
Human Population in,North Korea,"26633691",Worldometers (Feb 2026)
Human Population in,Syria,"26472497",Worldometers (Feb 2026)
Human Population in,Mali,"25932275",Worldometers (Feb 2026)
Human Population in,Burkina Faso,"24601700",Worldometers (Feb 2026)
Human Population in,Sri Lanka,"23348315",Worldometers (Feb 2026)
Human Population in,Taiwan,"23011292",Worldometers (Feb 2026)
Human Population in,Malawi,"22785535",Worldometers (Feb 2026)
Human Population in,Zambia,"22521915",Worldometers (Feb 2026)
Human Population in,Chad,"21560380",Worldometers (Feb 2026)
Human Population in,Kazakhstan,"21083626",Worldometers (Feb 2026)
Human Population in,Somalia,"20305907",Worldometers (Feb 2026)
Human Population in,Chile,"19945850",Worldometers (Feb 2026)
Human Population in,Senegal,"19366548",Worldometers (Feb 2026)
Human Population in,Guatemala,"18967978",Worldometers (Feb 2026)
Human Population in,Romania,"18800605",Worldometers (Feb 2026)
Human Population in,Netherlands,"18448775",Worldometers (Feb 2026)
Human Population in,Ecuador,"18444506",Worldometers (Feb 2026)
Human Population in,Cambodia,"18051219",Worldometers (Feb 2026)
Human Population in,Zimbabwe,"17273580",Worldometers (Feb 2026)
Human Population in,Guinea,"15441993",Worldometers (Feb 2026)
Human Population in,Benin,"15170419",Worldometers (Feb 2026)
Human Population in,Rwanda,"14889693",Worldometers (Feb 2026)
Human Population in,Burundi,"14729157",Worldometers (Feb 2026)
Human Population in,Bolivia,"12749291",Worldometers (Feb 2026)
