Description,Name,Number,Source
Population of Cattle in,Brazil,238M,World Population Review (Feb 2026)
Population of Cattle in,India,195M,World Population Review (Feb 2026)
Population of Cattle in,United States,87.2M,World Population Review (Feb 2026)
Population of Cattle in,Ethiopia,71.9M,World Population Review (Feb 2026)
Population of Cattle in,China,70.3M,World Population Review (Feb 2026)
Population of Cattle in,Pakistan,57.5M,World Population Review (Feb 2026)
Population of Cattle in,Argentina,52.8M,World Population Review (Feb 2026)
Population of Cattle in,Chad,39.6M,World Population Review (Feb 2026)
Population of Cattle in,Tanzania,39.1M,World Population Review (Feb 2026)
Population of Cattle in,Mexico,36.9M,World Population Review (Feb 2026)
Population of Cattle in,Sudan,31.3M,World Population Review (Feb 2026)
Population of Cattle in,Australia,30.4M,World Population Review (Feb 2026)
Population of Cattle in,Colombia,30.3M,World Population Review (Feb 2026)
Population of Cattle in,Bangladesh,25M,World Population Review (Feb 2026)
Population of Cattle in,Kenya,22.4M,World Population Review (Feb 2026)
Population of Cattle in,Nigeria,20.9M,World Population Review (Feb 2026)
Population of Cattle in,Niger,20.4M,World Population Review (Feb 2026)
Population of Cattle in,Indonesia,18.1M,World Population Review (Feb 2026)
Population of Cattle in,Russia,17.4M,World Population Review (Feb 2026)
Population of Cattle in,Turkey,16.8M,World Population Review (Feb 2026)
Population of Cattle in,France,16.5M,World Population Review (Feb 2026)
Population of Cattle in,Venezuela,15.7M,World Population Review (Feb 2026)
Population of Cattle in,Uganda,14.7M,World Population Review (Feb 2026)
Population of Cattle in,Uzbekistan,14.4M,World Population Review (Feb 2026)
Population of Cattle in,South Sudan,14.3M,World Population Review (Feb 2026)
Population of Cattle in,Mali,14M,World Population Review (Feb 2026)
Population of Cattle in,Paraguay,13.6M,World Population Review (Feb 2026)
Population of Cattle in,South Africa,12.1M,World Population Review (Feb 2026)
Population of Cattle in,Uruguay,12M,World Population Review (Feb 2026)
Population of Cattle in,Bolivia,11.2M,World Population Review (Feb 2026)
Population of Cattle in,Canada,11M,World Population Review (Feb 2026)
Population of Cattle in,Myanmar,10.8M,World Population Review (Feb 2026)
Population of Cattle in,Germany,10.5M,World Population Review (Feb 2026)
Population of Cattle in,Burkina Faso,10.3M,World Population Review (Feb 2026)
Population of Cattle in,New Zealand,9.5M,World Population Review (Feb 2026)
Population of Cattle in,United Kingdom,9.4M,World Population Review (Feb 2026)
Population of Cattle in,Guinea,9.3M,World Population Review (Feb 2026)
Population of Cattle in,Kazakhstan,8M,World Population Review (Feb 2026)
Population of Cattle in,Madagascar,7M,World Population Review (Feb 2026)
Population of Cattle in,Ireland,6.3M,World Population Review (Feb 2026)
Population of Cattle in,Vietnam,6.2M,World Population Review (Feb 2026)
Population of Cattle in,Poland,6.2M,World Population Review (Feb 2026)
Population of Cattle in,Spain,6.2M,World Population Review (Feb 2026)
Population of Cattle in,Cameroon,5.9M,World Population Review (Feb 2026)
Population of Cattle in,Peru,5.8M,World Population Review (Feb 2026)
Population of Cattle in,Italy,5.8M,World Population Review (Feb 2026)
Population of Cattle in,Zimbabwe,5.7M,World Population Review (Feb 2026)
Population of Cattle in,Iran,5.6M,World Population Review (Feb 2026)
Population of Cattle in,Afghanistan,5.6M,World Population Review (Feb 2026)
Population of Cattle in,Angola,5.2M,World Population Review (Feb 2026)
Population of Cattle in,Nepal,5.2M,World Population Review (Feb 2026)
Population of Cattle in,Mongolia,5.1M,World Population Review (Feb 2026)
Population of Cattle in,Zambia,4.9M,World Population Review (Feb 2026)
Population of Cattle in,Central African Republic,4.9M,World Population Review (Feb 2026)
Population of Cattle in,Somalia,4.8M,World Population Review (Feb 2026)
Population of Cattle in,Guatemala,4.3M,World Population Review (Feb 2026)
Population of Cattle in,Thailand,4.3M,World Population Review (Feb 2026)
Population of Cattle in,Belarus,4.1M,World Population Review (Feb 2026)
Population of Cattle in,Japan,4M,World Population Review (Feb 2026)
Population of Cattle in,South Korea,3.9M,World Population Review (Feb 2026)
Population of Cattle in,Senegal,3.7M,World Population Review (Feb 2026)
Population of Cattle in,Netherlands,3.6M,World Population Review (Feb 2026)
Population of Cattle in,Ecuador,3.4M,World Population Review (Feb 2026)
Population of Cattle in,Cuba,3.3M,World Population Review (Feb 2026)
Population of Cattle in,Dominican Republic,3M,World Population Review (Feb 2026)
Population of Cattle in,Chile,3M,World Population Review (Feb 2026)
Population of Cattle in,Namibia,2.9M,World Population Review (Feb 2026)
Population of Cattle in,Honduras,2.9M,World Population Review (Feb 2026)
Population of Cattle in,Cambodia,2.8M,World Population Review (Feb 2026)
Population of Cattle in,Tajikistan,2.8M,World Population Review (Feb 2026)
Population of Cattle in,Benin,2.8M,World Population Review (Feb 2026)
Population of Cattle in,Laos,2.7M,World Population Review (Feb 2026)
Population of Cattle in,Egypt,2.6M,World Population Review (Feb 2026)
Population of Cattle in,Philippines,2.6M,World Population Review (Feb 2026)
Population of Cattle in,Turkmenistan,2.5M,World Population Review (Feb 2026)
Population of Cattle in,Mozambique,2.5M,World Population Review (Feb 2026)
Population of Cattle in,Morocco,2.4M,World Population Review (Feb 2026)
Population of Cattle in,Ghana,2.4M,World Population Review (Feb 2026)
Population of Cattle in,Azerbaijan,2.3M,World Population Review (Feb 2026)
Population of Cattle in,Malawi,2.3M,World Population Review (Feb 2026)
Population of Cattle in,Eritrea,2.2M,World Population Review (Feb 2026)
Population of Cattle in,Ukraine,2.2M,World Population Review (Feb 2026)
Population of Cattle in,Belgium,2.2M,World Population Review (Feb 2026)
Population of Cattle in,Iraq,2.1M,World Population Review (Feb 2026)
Population of Cattle in,DR Congo,2M,World Population Review (Feb 2026)
Population of Cattle in,Mauritania,2M,World Population Review (Feb 2026)
Population of Cattle in,Yemen,2M,World Population Review (Feb 2026)
Population of Cattle in,Ivory Coast,1.9M,World Population Review (Feb 2026)
Population of Cattle in,Kyrgyzstan,1.8M,World Population Review (Feb 2026)
Population of Cattle in,Austria,1.8M,World Population Review (Feb 2026)
Population of Cattle in,Romania,1.8M,World Population Review (Feb 2026)
Population of Cattle in,Algeria,1.8M,World Population Review (Feb 2026)
Population of Cattle in,Costa Rica,1.6M,World Population Review (Feb 2026)
Population of Cattle in,Rwanda,1.5M,World Population Review (Feb 2026)
Population of Cattle in,Switzerland,1.5M,World Population Review (Feb 2026)
Population of Cattle in,Haiti,1.5M,World Population Review (Feb 2026)
