Description,Name,Number,Source
Population of dogs in,United States,89.7M,World Population Review (Feb 2026)
Population of dogs in,Brazil,67.8M,World Population Review (Feb 2026)
Population of dogs in,China,52.6M,World Population Review (Feb 2026)
Population of dogs in,India,36.9M,World Population Review (Feb 2026)
Population of dogs in,Russia,17M,World Population Review (Feb 2026)
Population of dogs in,United Kingdom,11.7M,World Population Review (Feb 2026)
Population of dogs in,Philippines,11.6M,World Population Review (Feb 2026)
Population of dogs in,Germany,10.5M,World Population Review (Feb 2026)
Population of dogs in,Spain,9.5M,World Population Review (Feb 2026)
Population of dogs in,Argentina,9.2M,World Population Review (Feb 2026)
Population of dogs in,Italy,8.8M,World Population Review (Feb 2026)
Population of dogs in,Canada,8.7M,World Population Review (Feb 2026)
Population of dogs in,Poland,8.4M,World Population Review (Feb 2026)
Population of dogs in,France,7.6M,World Population Review (Feb 2026)
Population of dogs in,South Africa,7.4M,World Population Review (Feb 2026)
Population of dogs in,Australia,7.4M,World Population Review (Feb 2026)
Population of dogs in,Japan,6.8M,World Population Review (Feb 2026)
Population of dogs in,South Korea,5.5M,World Population Review (Feb 2026)
Population of dogs in,Ethiopia,5M,World Population Review (Feb 2026)
Population of dogs in,Romania,4.3M,World Population Review (Feb 2026)
Population of dogs in,Portugal,3M,World Population Review (Feb 2026)
Population of dogs in,Hungary,2.8M,World Population Review (Feb 2026)
Population of dogs in,Czechia,2.2M,World Population Review (Feb 2026)
Population of dogs in,Belgium,2.1M,World Population Review (Feb 2026)
Population of dogs in,Netherlands,1.8M,World Population Review (Feb 2026)
Population of dogs in,Turkey,1.7M,World Population Review (Feb 2026)
Population of dogs in,Sweden,1.1M,World Population Review (Feb 2026)
Population of dogs in,Slovakia,909K,World Population Review (Feb 2026)
Population of dogs in,Austria,836K,World Population Review (Feb 2026)
Population of dogs in,Finland,805K,World Population Review (Feb 2026)
Population of dogs in,Bulgaria,729K,World Population Review (Feb 2026)
Population of dogs in,Greece,652K,World Population Review (Feb 2026)
Population of dogs in,Denmark,641K,World Population Review (Feb 2026)
Population of dogs in,Lithuania,614K,World Population Review (Feb 2026)
Population of dogs in,Israel,600K,World Population Review (Feb 2026)
Population of dogs in,New Zealand,578.2K,World Population Review (Feb 2026)
Population of dogs in,Ireland,517K,World Population Review (Feb 2026)
Population of dogs in,Switzerland,515K,World Population Review (Feb 2026)
Population of dogs in,Norway,500K,World Population Review (Feb 2026)
Population of dogs in,Latvia,271K,World Population Review (Feb 2026)
Population of dogs in,Estonia,250K,World Population Review (Feb 2026)
