Description,Name,Number,Source
Tesla Sales in,United States,"578644",World Population Review (Feb 2026)
Tesla Sales in,China,"460380",World Population Review (Feb 2026)
Tesla Sales in,Canada,"48124",World Population Review (Feb 2026)
Tesla Sales in,United Kingdom,"41689",World Population Review (Feb 2026)
Tesla Sales in,France,"34984",World Population Review (Feb 2026)
Tesla Sales in,Germany,"33669",World Population Review (Feb 2026)
Tesla Sales in,South Korea,"28498",World Population Review (Feb 2026)
Tesla Sales in,Netherlands,"23847",World Population Review (Feb 2026)
Tesla Sales in,Australia,"23116",World Population Review (Feb 2026)
Tesla Sales in,Sweden,"18940",World Population Review (Feb 2026)
Tesla Sales in,Norway,"18382",World Population Review (Feb 2026)
Tesla Sales in,Belgium,"18015",World Population Review (Feb 2026)
Tesla Sales in,Italy,"14534",World Population Review (Feb 2026)
Tesla Sales in,Spain,"13473",World Population Review (Feb 2026)
Tesla Sales in,Denmark,"12599",World Population Review (Feb 2026)
Tesla Sales in,Turkey,"9227",World Population Review (Feb 2026)
Tesla Sales in,Switzerland,"8038",World Population Review (Feb 2026)
Tesla Sales in,Portugal,"7576",World Population Review (Feb 2026)
Tesla Sales in,Israel,"5463",World Population Review (Feb 2026)
Tesla Sales in,Austria,"4012",World Population Review (Feb 2026)
Tesla Sales in,Poland,"4007",World Population Review (Feb 2026)
Tesla Sales in,United Arab Emirates,"3793",World Population Review (Feb 2026)
Tesla Sales in,Finland,"3100",World Population Review (Feb 2026)
Tesla Sales in,Czechia,"3080",World Population Review (Feb 2026)
Tesla Sales in,Ireland,"2702",World Population Review (Feb 2026)
Tesla Sales in,Romania,"2349",World Population Review (Feb 2026)
Tesla Sales in,Greece,"1840",World Population Review (Feb 2026)
Tesla Sales in,Slovenia,769,World Population Review (Feb 2026)
