Description,Name,Number,Source
Youtube Users in,India,462M,World Population Review (Feb 2026)
Youtube Users in,United States,239M,World Population Review (Feb 2026)
Youtube Users in,Brazil,144M,World Population Review (Feb 2026)
Youtube Users in,Indonesia,139M,World Population Review (Feb 2026)
Youtube Users in,Mexico,83.1M,World Population Review (Feb 2026)
Youtube Users in,Japan,78.6M,World Population Review (Feb 2026)
Youtube Users in,Pakistan,71.7M,World Population Review (Feb 2026)
Youtube Users in,Germany,67.8M,World Population Review (Feb 2026)
Youtube Users in,Vietnam,63M,World Population Review (Feb 2026)
Youtube Users in,Turkey,57.5M,World Population Review (Feb 2026)
Youtube Users in,United Kingdom,56.2M,World Population Review (Feb 2026)
Youtube Users in,France,50.7M,World Population Review (Feb 2026)
Youtube Users in,Egypt,44.7M,World Population Review (Feb 2026)
Youtube Users in,South Korea,44.3M,World Population Review (Feb 2026)
Youtube Users in,Thailand,44.2M,World Population Review (Feb 2026)
Youtube Users in,Italy,42.8M,World Population Review (Feb 2026)
Youtube Users in,Spain,39.7M,World Population Review (Feb 2026)
Youtube Users in,Bangladesh,33.6M,World Population Review (Feb 2026)
Youtube Users in,Canada,31.9M,World Population Review (Feb 2026)
Youtube Users in,Argentina,31.3M,World Population Review (Feb 2026)
Youtube Users in,Colombia,30.3M,World Population Review (Feb 2026)
Youtube Users in,Nigeria,28.5M,World Population Review (Feb 2026)
Youtube Users in,Saudi Arabia,28.3M,World Population Review (Feb 2026)
Youtube Users in,Poland,27.9M,World Population Review (Feb 2026)
Youtube Users in,South Africa,25.1M,World Population Review (Feb 2026)
Youtube Users in,Ukraine,24.3M,World Population Review (Feb 2026)
Youtube Users in,Malaysia,24.1M,World Population Review (Feb 2026)
Youtube Users in,Algeria,22.8M,World Population Review (Feb 2026)
Youtube Users in,Iraq,22.8M,World Population Review (Feb 2026)
Youtube Users in,Philippines,21.4M,World Population Review (Feb 2026)
Youtube Users in,Morocco,21.2M,World Population Review (Feb 2026)
Youtube Users in,Australia,20.8M,World Population Review (Feb 2026)
Youtube Users in,Taiwan,19.2M,World Population Review (Feb 2026)
Youtube Users in,Peru,17.6M,World Population Review (Feb 2026)
Youtube Users in,Chile,15.2M,World Population Review (Feb 2026)
Youtube Users in,Netherlands,15M,World Population Review (Feb 2026)
Youtube Users in,Romania,13.3M,World Population Review (Feb 2026)
Youtube Users in,Ecuador,11.7M,World Population Review (Feb 2026)
Youtube Users in,Kenya,9.8M,World Population Review (Feb 2026)
Youtube Users in,Belgium,9.2M,World Population Review (Feb 2026)
Youtube Users in,United Arab Emirates,8.8M,World Population Review (Feb 2026)
Youtube Users in,Sweden,8.5M,World Population Review (Feb 2026)
Youtube Users in,Czechia,8.1M,World Population Review (Feb 2026)
Youtube Users in,Portugal,7.4M,World Population Review (Feb 2026)
Youtube Users in,Greece,7.4M,World Population Review (Feb 2026)
Youtube Users in,Guatemala,7.3M,World Population Review (Feb 2026)
Youtube Users in,Austria,7.3M,World Population Review (Feb 2026)
Youtube Users in,Hungary,7.3M,World Population Review (Feb 2026)
Youtube Users in,Sri Lanka,7.2M,World Population Review (Feb 2026)
Youtube Users in,Dominican Republic,7.2M,World Population Review (Feb 2026)
Youtube Users in,Tunisia,7.1M,World Population Review (Feb 2026)
Youtube Users in,Israel,6.9M,World Population Review (Feb 2026)
Youtube Users in,Switzerland,6.9M,World Population Review (Feb 2026)
Youtube Users in,Ghana,6.9M,World Population Review (Feb 2026)
Youtube Users in,Hong Kong,6.5M,World Population Review (Feb 2026)
Youtube Users in,Jordan,6.4M,World Population Review (Feb 2026)
Youtube Users in,Bolivia,5.6M,World Population Review (Feb 2026)
Youtube Users in,Singapore,5.1M,World Population Review (Feb 2026)
Youtube Users in,Serbia,5M,World Population Review (Feb 2026)
Youtube Users in,Denmark,4.7M,World Population Review (Feb 2026)
Youtube Users in,Lebanon,4.5M,World Population Review (Feb 2026)
Youtube Users in,Norway,4.5M,World Population Review (Feb 2026)
Youtube Users in,Honduras,4.5M,World Population Review (Feb 2026)
Youtube Users in,Finland,4.5M,World Population Review (Feb 2026)
Youtube Users in,Bulgaria,4.4M,World Population Review (Feb 2026)
Youtube Users in,Paraguay,4.2M,World Population Review (Feb 2026)
Youtube Users in,Slovakia,4.2M,World Population Review (Feb 2026)
Youtube Users in,New Zealand,4.1M,World Population Review (Feb 2026)
Youtube Users in,Ireland,4M,World Population Review (Feb 2026)
Youtube Users in,Oman,4M,World Population Review (Feb 2026)
Youtube Users in,Costa Rica,3.9M,World Population Review (Feb 2026)
Youtube Users in,Senegal,3.7M,World Population Review (Feb 2026)
Youtube Users in,El Salvador,3.6M,World Population Review (Feb 2026)
